Inventor,NOMBRE_INVENTOR,Patents,Cites,Asignee Inst,Número de coinventores,Co inventoras mujeres,Coinventores extranjeros,Location,years active,año de inicio,última patente,Inicio de patentamiento-obtención de cédula,Género,Grado académico LICENCIATURA,Institución que otorgó el grado LICENCIATURA,INSTITUCIÓN Pública= 1; Privada= 0,# cédula profesional LICENCIATURA,Año de expedición de cedula profesional  LICENCIATURA,Grado académico MAESTRÍA,Institución que otorgó el grado MAESTRÍA,# cédula profesional MAESTRÍA,Año de expedición de cedula profesional  MAESTRÍA,Grado académico DOCTORADO,Institución que otorgó el grado DOCTORADO,# cédula profesional DOCTORADO,Año de expedición de cedula profesional  DOCTORADO,Posgrado SI= 1 NO= 0,Empleo actual,Puesto,Nacionalidad
Alberto Osio Hernandez Pons,"Osio Hernandez Pons,Alberto",3,16.0,Osio Corporation,2,0,,"Mexico City, MX",2015 - 2021,2015,2021,,Hombre,,,,,,,,,,,,,,,,,
Alberto Sanchez,"Sanchez,Alberto",3,21.0,"Analog Devices, Inc.",7,,,"Puebla, MX",2010 - 2023,2010,2023,,Hombre,,,,,,,,,,,,,,,,,
Alejandro A Elizondo,"A Elizondo,Alejandro",3,101.0,Telefonaktiebolaget LM Ericsson (Publ),2,0,,"Coahuila, MX",2003 - 2005,2003,2005,,Hombre,,,,,,,,,,,,,,,,,
Alejandro Cortina Cordero,"Cortina Cordero,Alejandro",3,73.0,"Cortina Innovations, S.A. de C.V.",4,,,"Mexico City, MX",2010 - 2013,2010,2013,,Hombre,,,,,,,,,,,,,,,,,
Alejandro Enrique Gonzalez,"Enrique Gonzalez,Alejandro",3,32.0,CR Packaging LLC,7,,,"Toluca, MX",2003 - 2024,2003,2024,,Hombre,,,,,,,,,,,,,,,,,
Alejandro Espinosa Ruiz,"Espinosa Ruiz,Alejandro",3,49.0,"Consorcio G. Grupo Dina, S.A. De C.V.",3,0,,"Ixmiquilpan, MX",2001 - 2002,2001,2002,,Hombre,,,,,,,,,,,,,,,,,
Alejandro Juarez Corona,"Juarez Corona,Alejandro",3,5.0,"Ford Global Technologies, LLC",0,0,,"Tepotzotlán, MX",2017 - 2018,2017,2018,2.0,HOMBRE,LICENCIATURA EN INGENIERÍA EN SISTEMAS DIGITALES Y ROBÓTICA,INSTITUTO TECNOLÓGICO Y DE ESTUDIOS SUPERIORES DE MONTERREY,0.0,9002763,2015.0,,,,,,,,,0.0,,,Mexicana
Alejandro Leon Escalera,"Leon Escalera,Alejandro",3,1.0,Accenture Global Solutions Limited,4,,,"Puebla, MX",2019 - 2023,2019,2023,10.0,HOMBRE,LICENCIATURA EN INGENIERÍA EN SISTEMAS COMPUTACIONALES,FUNDACIÓN UNIVERSIDAD DE LAS AMÉRICAS,0.0,6066652,2009.0,,,,,,,,,0.0,,,Mexicana
Alejandro Ortega Rodriguez,"Ortega Rodriguez,Alejandro",3,7.0,Instituto Mexicano del Petróleo,20,,,"Mexico City, MX",2014 - 2021,2014,2021,19.0,HOMBRE,LICENCIATURA EN INGENIERÍA QUÍMICA,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,1.0,2084310,1995.0,MAESTRÍA EN CIENCIAS CON ESP EN INGENIERÍA QUÍMICA,INSTITUTO POLITÉCNICO NACIONAL,3075907,2000,,,,,1.0,,,Mexicana
Alejandro Rosas Vazquez,"Rosas Vazquez,Alejandro",3,2.0,"Ford Global Technologies, LLC",4,,,"Mexico City, MX",2019 - 2024,2019,2024,16.0,HOMBRE,LICENCIATURA COMO INGENIERO MECÁNICO ELECTRICISTA,INSTITUTO TECNOLÓGICO Y DE ESTUDIOS SUPERIORES DE MONTERREY,0.0,3852018,2003.0,,,,,,,,,0.0,,,Mexicana
Alexei F Licea Navarro,"F Licea Navarro,Alexei",3,9.0,LABORATORIOS SILANES S.A. DE C.V.,6,,,"El Rosario, MX",2013 - 2017,2013,2017,21.0,HOMBRE,LICENCIATURA COMO QUÍMICO FARMACOBIÓLOGO,UNIVERSIDAD AUTÓNOMA DE BAJA CALIFORNIA,1.0,1695069,1992.0,MAESTRÍA EN BIOTECNOLOGÍA,UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO,1977978,1994,DOCTORADO EN BIOTECNOLOGÍA,UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO,2503627,1997,1.0,CICESE,INVESTIGADOR TITULAR,Mexicana
Alfonso Cardenas,"Cardenas,Alfonso",3,33.0,Honeywell International Inc.,1,1,,"Querétaro, MX",1989 - 2022,1989,2022,,Hombre,,,,,,,,,,,,,,,,,
Alfonso Izquierdo Garcia,"Izquierdo Garcia,Alfonso",3,72.0,Tenaris Connections Limited,6,,,"Veracruz, MX",2011 - 2012,2011,2012,17.0,HOMBRE,LICENCIATURA EN INGENIERÍA INDUSTRIAL EN SIDERURGIA,INSTITUTO TECNOLÓGICO DE MORELIA,1.0,2022286,1994.0,MAESTRÍA EN CIENCIAS EN METALURGIA Y CIENCIA DE MATERIALES,UNIVERSIDAD MICHOACANA DE SAN NICOLÁS DE HIDALGO ,,1995,,,,,1.0,TENARIS TAMSA,DIRECTOR,Mexicana
Alfonso Javier Barragan Rodriguez,"Barragan Rodriguez,Alfonso Javier",3,17.0,"Vendwatch Telematics, LLC",2,0,,"Monterrey, MX",2016 - 2019,2016,2019,,Hombre,,,,,,,,,,,,,,,,,
Alfred Zehe,"Zehe,Alfred",3,31.0,Oxxel Oxide Electronics Technology GmbH,6,,,"Puebla, MX",1977 - 2002,1977,2002,,Hombre,,,,,,,,,,,,,,,,,
Alfredo Diaz Fernandez,"Diaz Fernandez,Alfredo",3,16.0,Mabe Mexico S. de R.L. de C.V.,4,,,"Yécora, MX",2002 - 2013,2002,2013,,Hombre,,,,,,,,,,,,,,,,,
Alfredo Gallegos,"Gallegos,Alfredo",3,21.0,,1,0,,"Villa de Cos, MX",1977 - 2015,1977,2015,,Hombre,,,,,,,,,,,,,,,,,
Alfredo Ortiz,"Ortiz,Alfredo",3,19.0,Masterstouch Brand LLC,5,,,"Tijuana, MX",2015 - 2016,2015,2016,,Hombre,,,,,,,,,,,,,,,,,
Alfredo Rodriguez,"Rodriguez,Alfredo",3,65.0,Intelleflex Corporation,3,0,,"Aguascalientes, MX",2013 - 2020,2013,2020,,Hombre,,,,,,,,,,,,,,,,,
Alicia del Rayo Jaramillo Jacob,"Jaramillo Jacob,Alicia del Rayo",3,0.0,Instituto Mexicano del Petróleo,13,,,"Villa de Cos, MX",2018 - 2019,2018,2019,35.0,MUJER,LICENCIATURA EN INGENIERÍA BIOQUÍMICA INDUSTRIAL,UNIVERSIDAD AUTÓNOMA METROPOLITANA,1.0,811789,1983.0,,,,,,,,,0.0,,,Mexicana
Alicia Vidal Ortiz,"Vidal Ortiz,Alicia",3,2.0,Schaeffler Technologies AG & Co. KG,5,,,"Puebla, MX",2021 - 2024,2021,2024,5.0,MUJER,LICENCIATURA EN INGENIERÍA MECATRÓNICA,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,1.0,9922518,2016.0,,,,,,,,,0.0,Schaeffler,Thermal Management Systems Group Leader,Mexicana
Allan Alberto Mejia Jaramillo,"Mejia Jaramillo,Allan Alberto",3,0.0,"Ford Global Technologies, LLC",6,,,"Atizapán de Zaragoza, MX",2018 - 2020,2018,2020,5.0,HOMBRE,LICENCIATURA EN INGENIERO EN MECATRÓNICA,INSTITUTO TECNOLÓGICO Y DE ESTUDIOS SUPERIORES DE MONTERREY,0.0,8248751,2013.0,,,,,,,,,0.0,Ford Motor Company,Engineering design Supervisor,Mexicana
Alvaro Pardo Ramos,"Pardo Ramos,Alvaro",3,39.0,Morgan Stanley Services Group Inc.,28,,,"Guadalajara, MX",2007 - 2007,2007,2007,5.0,HOMBRE,LICENCIATURA EN INGENIERÍA ELECTROMECÁNICA,UNIVERSIDAD PANAMERICANA ,0.0,3735913,2002.0,,,,,,,,,0.0,,,Mexicana
Ana Maria Urrea,"Maria Urrea,Ana",3,50.0,MARY KAY INC.,2,2,,"Naucalpan, MX",2014 - 2015,2014,2015,,Mujer,,,,,,,,,,,,,,,,,
Andres Encinas,"Encinas,Andres",3,2.0,"PIONEER HI-BRED INTERNATIONAL, INC.",0,0,,"Irapuato, MX",2015 - 2017,2015,2017,,Hombre,,,,,,,,,,,,,,,,,
Andres F Rodriguez Jasso,"F Rodriguez Jasso,Andres",3,0.0,"Nemak USA, Inc.",14,,,"Garcia, MX",2021 - 2022,2021,2022,21.0,HOMBRE,LICENCIATURA EN INGENIERÍA MECÁNICA METALÚRGICA,UNIVERSIDAD AUTÓNOMA DE NUEVO LEÓN,1.0,3027230,2000.0,MAESTRÍA EN CIENCIAS DE LA INGENIERÍA MECÁNICA CON ESP EN MATERIALES,UNIVERSIDAD AUTÓNOMA DE NUEVO LEÓN,3605295,2002,DOCTORADO EN INGENIERÍA DE MATERIALES,UNIVERSIDAD AUTÓNOMA DE NUEVO LEÓN,8043169,2013,1.0,PROMOBROKER,INGENIERO EN INVESTIGACIÓN METALÚRGICA,Mexicana
Andres Godinez,"Godinez,Andres",3,2.0,ARIZONA BOARD OF REGENTS ON BEHALF OF THE UNIVERSITY OF…,3,0,,"Hermosillo, MX",2021 - 2022,2021,2022,,Hombre,,,,,,,,,,,,,,,,,
Andres Munoz Ruiz,"Munoz Ruiz,Andres",3,3.0,FRICAECO AMERICA SAPI DE C.V.,0,0,,"Chunhuhub, MX",2015 - 2017,2015,2017,,Hombre,,,,,,,,,,,,,,,,,
Andres Omar Alvarez Lopez,"Alvarez Lopez,Andres Omar",3,1.0,GM GLOBAL TECHNOLOGY OPERATIONS LLC,2,0,,"Toluca, MX",2019 - 2021,2019,2021,2.0,HOMBRE,LICENCIATURA EN INGENIERÍA EN SISTEMAS AUTOMOTRICES,INSTITUTO POLITÉCNICO NACIONAL,1.0,10178080,2017.0,,,,,,,,,0.0,,,Mexicana
Andres Rodrigo Garcia Morlet,"Garcia Morlet,Andres Rodrigo",3,16.0,Coflex S.A. de C.V.,2,0,,"El Control, MX",2017 - 2019,2017,2019,30.0,HOMBRE,LICENCIATURA EN INGENIERÍA QUÍMICA Y DE SISTEMAS,INSTITUTO TECNOLÓGICO Y DE ESTUDIOS SUPERIORES DE MONTERREY,0.0,1191501,1987.0,,,,,,,,,0.0,COFLEX,PRODUCT DEVELOPMENT AND RETAIL SALES DIRECTOR,Mexicana
Angel Emilio Aceves Diez,"Aceves Diez,Angel Emilio",3,0.0,"LABORATORIOS MINKAB, S.A. DE C.V.",5,,,"Jalisco, MX",2017 - 2018,2017,2018,14.0,HOMBRE,LICENCIATURA COMO QUÍMICO FARMACOBIÓLOGO,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,1.0,4008035,2003.0,,,,,,,,,0.0,,,Mexicana
Angel Reyes Archundia,"Reyes Archundia,Angel",3,20.0,Rain Bird Corporation,5,,,"Tijuana, MX",2018 - 2023,2018,2023,6.0,HOMBRE,LICENCIATURA COMO INGENIERO EN COMUNICACIONES Y ELECTRÓNICA,INSTITUTO POLITÉCNICO NACIONAL,1.0,7310368,2012.0,,,,,,,,,0.0,,,Mexicana
Antonio Espinosa,"Espinosa,Antonio",3,25.0,EISENMANN GMBH,6,,,"Puebla, MX",2001 - 2013,2001,2013,,Hombre,,,,,,,,,,,,,,,,,
Antonio Espiritu Santo Rincon,"Santo Rincon,Antonio Espiritu",3,5.0,"Ford Global Technologies, LLC",6,,,"Atizapán de Zaragoza, MX",2018 - 2019,2018,2019,9.0,HOMBRE,LICENCIATURA EN INGENIERO EN MECATRÓNICA,INSTITUTO TECNOLÓGICO Y DE ESTUDIOS SUPERIORES DE MONTERREY,0.0,5940204,2009.0,MAESTRÍA EN CIENCIAS DE LA INGENIERÍA,INSTITUTO TECNOLÓGICO Y DE ESTUDIOS SUPERIORES DE MONTERREY,6855587,2011,,,,,1.0,,,Mexicana
Antonio Paredes,"Paredes,Antonio",3,19.0,"Palau Pharma, S.A.",8,,,"Querétaro, MX",2011 - 2023,2011,2023,,Hombre,,,,,,,,,,,,,,,,,
Antonio Zenteno Ramirez,"Zenteno Ramirez,Antonio",3,0.0,Intel Corporation,11,,,"Guadalajara, MX",2015 - 2019,2015,2019,18.0,HOMBRE,LICENCIATURA EN INGENIERÍA INDUSTRIAL EN ELÉCTRICA,INSTITUTO TECNOLÓGICO DE PUEBLA (I.T.R.),1.0,2432507,1997.0,MAESTRÍA EN CIENCIAS EN LA ESPECIALIDAD DE ELECTRÓNICA,INSTITUTO NACIONAL DE ASTROFÍSICA ÓPTICA Y ELECTRÓNICA,2891995,1999,DOCTORADO EN CIENCIAS EN EL ÁREA DE ELECTRÓNICA,INSTITUTO NACIONAL DE ASTROFÍSICA ÓPTICA Y ELECTRÓNICA,4586811,2005,1.0,Intel Corporation,Signal / Power Integrity Engineer,Mexicana
Araceli Olguin Jimenez,"Olguin Jimenez,Araceli",3,9.0,"Copoya, MX",6,,,"Copoya, MX",2013 - 2017,2013,2017,15.0,MUJER,LICENCIATURA COMO QUÍMICO FARMACÉUTICO BIÓLOGO,UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO,1.0,2792541,1998.0,,,,,,,,,0.0,,,Mexicana
Arie Jusidman Rubinstein,"Jusidman Rubinstein,Arie",3,12.0,"TRUPER, S.A. DE C.V.",3,0,,"Estado de México, MX",2017 - 2019,2017,2019,,,,,,,,,,,,,,,,,,,
Armando Sedano Hernandez,"Sedano Hernandez,Armando",3,21.0,Sabritas S. de R.L. de C.V.,3,2,,"Ecatepec, MX",2007 - 2011,2007,2011,,Hombre,,,,,,,,,,,,,,,,,
Armando Zambrano Huerta,"Zambrano Huerta,Armando",3,0.0,Signa S.A. de C.V.,16,,,"San Miguel Zinacantepec, MX",2015 - 2017,2015,2017,8.0,HOMBRE,LICENCIATURA COMO QUÍMICO FARMACÉUTICO BIÓLOGO,UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO,1.0,5033383,2007.0,MAESTRÍA EN CIENCIAS,UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO,6052003,2009,,,,,1.0,,,Mexicana
Artemio Gonzalez Acevedo,"Gonzalez Acevedo,Artemio",3,10.0,Unimin Corporation,3,0,,"San Nicolás de los Garza, MX",2010 - 2011,2010,2011,,Hombre,,,,,,,,,,,,,,,,,
Arturo A Ortiz Rivas,"Ortiz Rivas,Arturo A",3,9.0,,0,0,,"Monterrey, MX",1994 - 2011,1994,2011,13.0,HOMBRE,LICENCIATURA COMO CONTADOR PÚBLICO Y AUDITOR,UNIVERSIDAD AUTÓNOMA DE NUEVO LEÓN ,1.0,651928,1981.0,,,,,,,,,0.0,,,Mexicana
Arturo Cruz,"Cruz,Arturo",3,0.0,"Nissan North America, Inc.",2,1,,"Mexico City, MX",2023 - 2024,2023,2024,,Hombre,,,,,,,,,,,,,,,,,
Arturo Hjort Delgado,"Hjort Delgado,Arturo",3,77.0,SERVICIOS CONDUMEX S.A. DE C.V.,3,0,,"Tolimán, MX",1999 - 2003,1999,2003,,Hombre,,,,,,,,,,,,,,,,,
Arturo Ismael Quinto,"Ismael Quinto,Arturo",3,0.0,ORACLE INTERNATIONAL CORPORATION,7,,,"Guadalajara, MX",2023 - 2024,2023,2024,,Hombre,,,,,,,,,,,,,,,,,
Arturo Romero,"Romero,Arturo",3,36.0,Ademco Inc.,3,0,,"Chihuahua, MX",1992 - 2021,1992,2021,,Hombre,,,,,,,,,,,,,,,,,
Arturo Sanchez Garcia,"Sanchez Garcia,Arturo",3,3.0,"CORNING OPTICAL COMMUNICATIONS RF, LLC",9,,,"Reynosa, MX",2019 - 2023,2019,2023,,Hombre,,,,,,,,,,,,,,,,,
Arturo Santos,"Santos,Arturo",3,0.0,"OPKO Pharmaceuticals, LLC",2,1,,"Zapopan, MX",2020 - 2023,2020,2023,,Hombre,,,,,,,,,,,,,,,,,
Arturo Si Ming Lamshing Tai,"Lamshing Tai,Arturo Si Ming",3,1.0,"Vidrio Plano de México, S.A. de C.V.",5,,,"Monterrey, MX",2019 - 2022,2019,2022,17.0,HOMBRE,INGENIERO,UNIVERSIDAD IBEROAMERICANA,0.0,,2002.0,,,,,,,,,0.0,VITRO ,GERENTE DE PLANTA,Mexicana
Arturo U Olague,"U Olague,Arturo",3,2.0,Emerson Electric Co.,5,,,"Tecomán, MX",2018 - 2020,2018,2020,,Hombre,,,,,,,,,,,,,,,,,
Beatriz Zapata Rendon,"Zapata Rendon,Beatriz",3,1.0,Instituto Mexicano del Petróleo,13,,,"Mexico City, MX",2016 - 2018,2016,2018,19.0,MUJER,LICENCIATURA COMO INGENIERO QUÍMICO INDUSTRIAL,INSTITUTO POLITÉCNICO NACIONAL,1.0,2547948,1997.0,,,,,,,,,0.0,,,Mexicana
Belisario Sanchez Vazquez,"Sanchez Vazquez,Belisario",3,65.0,SERVICIOS CONDUMEX,9,,,"Yécora, MX",1999 - 2003,1999,2003,13.0,HOMBRE,LICENCIATURA EN INGENIERÍA METALURGISTA,INSTITUTO POLITÉCNICO NACIONAL,1.0,1099295,1986.0,,,,,,,,,0.0,,,Mexicana
Benito Anton Palma,"Anton Palma,Benito",3,9.0,"INSTITUTO NACIONAL DE PSIQUIATRÍA ""RAMÓN DE LA…",1,0,,"Mexico City, MX",2011 - 2014,2011,2014,18.0,HOMBRE,LICENCIATURA COMO MÉDICO CIRUJANO,UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO,1.0,1773904,1993.0,,,,,,,,,0.0,,,Mexicana
Benjamin Duenas Figueroa,"Duenas Figueroa,Benjamin",3,6.0,"Ford Global Technologies, LLC",8,,,"Acapulco, MX",2016 - 2017,2016,2017,11.0,HOMBRE,LICENCIATURA EN DISEÑO INDUSTRIAL,UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO,1.0,4354727,2005.0,,,,,,,,,0.0,,,Mexicana
Blanca Angelica Segura Pacheco,"Segura Pacheco,Blanca Angelica",3,18.0,"Global Bio Therapeutics, Inc.",6,,,"Mexico City, MX",2017 - 2022,2017,2022,13.0,MUJER,LICENCIATURA EN BIOLOGÍA,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,1.0,4117550,2004.0,,,,,,,,,0.0,GLOBAL BIOTHERAPEUTICS,Owner,Mexicana
Candido Aguilar Barrera,"Aguilar Barrera,Candido",3,1.0,Instituto Mexicano del Petróleo,15,,,"Mexico City, MX",2014 - 2022,2014,2022,12.0,HOMBRE,LICENCIATURA COMO INGENIERO QUÍMICO,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,1.0,3544452,2002.0,,,,,,,,,0.0,,,Mexicana
Carlos A Gonzalez Delgadillo,"Gonzalez Delgadillo,Carlos A",3,13.0,Aptiv Technologies AG,2,0,,"Saltillo, MX",2019 - 2020,2019,2020,8.0,HOMBRE,LICENCIATURA EN INGENIERÍA MECÁNICA,INSTITUTO TECNOLÓGICO DE SALTILLO,1.0,7158383,2011.0,,,,,,,,,0.0,APTIV,TEAM LEADER,Mexicana
Carlos Alberto Gomez Aldapa,"Gomez Aldapa,Carlos Alberto",3,1.0,Universidad Autonoma del Estado de Hidalgo,2,0,,"Pachuca, MX",2020 - 2022,2020,2022,25.0,HOMBRE,LICENCIATURA COMO INGENIERO BIOQUÍMICO,INSTITUTO TECNOLÓGICO DE CULIACÁN (I.T.R.),1.0,2144565,1995.0,MAESTRÍA EN CIENCIA Y TECNOLOGÍA DE ALIMENTOS,UNIVERSIDAD AUTÓNOMA DE SINALOA,11675378,2019,DOCTORADO EN CIENCIAS DE LOS ALIMENTOS,UNIVERSIDAD AUTÓNOMA DE QUERÉTARO,11719761,2019,1.0,UAEH,PROFESOR,Mexicana
Carlos Emilio Merino Almeida,"Merino Almeida,Carlos Emilio",3,6.0,"Ford Global Technologies, LLC",2,0,,"Miguel Alemán, MX",2017 - 2019,2017,2019,0.0,HOMBRE,LICENCIATURA EN INGENIERÍA INDUSTRIAL,UNIVERSIDAD TEC MILENIO,0.0,10326671,2017.0,,,,,,,,,0.0,Tesla,Group Manager Supplier Industrialization Engineer,Mexicana
Carlos Ernesto Saenz Camacho,"Saenz Camacho,Carlos Ernesto",3,1.0,"Ford Global Technologies, LLC",11,,,"Calimaya de Díaz González, MX",2019 - 2022,2019,2022,11.0,HOMBRE,LICENCIATURA EN INGENIERO EN MECATRÓNICA,INSTITUTO TECNOLÓGICO Y DE ESTUDIOS SUPERIORES DE MONTERREY,0.0,5791605,2008.0,,,,,,,,,0.0,Ford Motor Company,Product Development Engineer,Mexicana
Carlos Gonzalez Hernandez,"Gonzalez Hernandez,Carlos",3,2.0,BOEHRINGER INGELHEIM VETMEDICA S.A. DE C.V.,3,1,,"Jalisco, MX",2009 - 2011,2009,2011,,Hombre,,,,,,,,,,,,,,,,,
Carlos Jair Briceno,"Jair Briceno,Carlos",3,9.0,CommScope Technologies LLC,7,,,"Chihuahua, MX",2002 - 2023,2002,2023,,Hombre,,,,,,,,,,,,,,,,,
Carlos Mora Hernandez,"Mora Hernandez,Carlos",3,20.0,,1,0,,"Ixtlahuacán del Río, MX",2009 - 2009,2009,2009,,Hombre,,,,,,,,,,,,,,,,,
Carlos Ramirez de Santiago,"de Santiago,Carlos Ramirez",3,0.0,"Ford Global Technologies, LLC",3,0,,"Mexico City, MX",2019 - 2023,2019,2023,12.0,HOMBRE,LICENCIATURA EN INGENIERÍA EN MECATRÓNICA,INSTITUTO POLITÉCNICO NACIONAL,1.0,5269633,2007.0,,,,,,,,,0.0,,,Mexicana
Carmela Rivero Jimenez,"Rivero Jimenez,Carmela",3,19.0,Sabritas S. de R.L. de C.V.,2,1,,"Guadalupe, MX",2006 - 2011,2006,2011,25.0,MUJER,LICENCIATURA EN NUTRICIÓN Y CIENCIA DE LOS ALIMENTOS,UNIVERSIDAD IBEROAMERICANA,0.0,678513,1981.0,,,,,,,,,0.0,PEPSICO,VICEPRESIDENTE,Mexicana
Carmen Josefina Ramirez,"Josefina Ramirez,Carmen",3,2.0,"Halliburton Energy Services, Inc.",8,,,"Ciudad del Carmen, MX",2017 - 2019,2017,2019,,Mujer,,,,,,,,,,,,,,,,,
Carolina Gonzalez Garcia,"Fernandez de Castro,Daniel Vogel",3,24.0,"Imbera, S.A. DE C.V.",1,1,,"Querétaro, MX",2011 - 2012,2011,2012,,Mujer,,,,,,,,,,,,,,,,,
Catalina Maria Velez Argumedo,"Velez Argumedo,Catalina Maria",3,0.0,"Imbera, S.A. DE C.V.",2,2,,"Apodaca, MX",2019 - 2020,2019,2020,,Mujer,,,,,,,,,,,,,,,,,
Cesar Alejandro Arzate,"Alejandro Arzate,Cesar",3,1.0,Ademco Inc.,9,,,"Chihuahua, MX",2020 - 2023,2020,2023,,Hombre,,,,,,,,,,,,,,,,,
