NOMBRE DEL INVESTIGADOR,NOMBRE_INVENTOR,Ratio
"GARCIA,CESAR","BORROMEO GARCIA,CESAR AUGUSTO",100.0
"GARCIA,CESAR","GARCIA GARCIA,CESAR",100.0
"GARCIA,CESAR","GARCIA GARCIA,CESAR LUIS",100.0
"GUZMAN,ROBERTO ZITZUMBO","ZITZUMBO GUZMAN,ROBERTO",100.0
"VAZQUEZ MORENO,FLAVIO SALVADOR","VAZQUEZ MORENO,FLAVIO SALVADOR",100.0
"ALVAREZ RAMIREZ,FERNANDO","ALVAREZ RAMIREZ,FERNANDO",100.0
"HERNANDEZ CORTEZ,JOSE GONZALO","HERNANDEZ CORTEZ,JOSE GONZALO",100.0
"CASTRO SOTELO,LAURA VERONICA","CASTRO SOTELO,LAURA VERONICA",100.0
"FLORES SANDOVAL,CESAR ANDRES","FLORES SANDOVAL,CESAR ANDRES",100.0
"FLORES OROPEZA,EUGENIO ALEJANDRO","FLORES OROPEZA,EUGENIO ALEJANDRO",100.0
"REYES MARTINEZ,REYNA","REYES MARTINEZ,REYNA",100.0
"REYES,GUILLERMO M CEBALLOS","CEBALLOS REYES,GUILLERMO MANUEL",96.0
"VILLARREAL,FRANCISCO","CHONG VILLARREAL,FRANCISCO",100.0
"VILLARREAL,FRANCISCO","LOPEZ VILLARREAL,FRANCISCO",100.0
"HERNANDEZ HERNANDEZ,HECTOR","HERNANDEZ HERNANDEZ,HECTOR ALFREDO",100.0
"CHAVEZ,CESAR C","MEDINA CHAVEZ,CESAR IVAN",92.3076923076923
"CHAVEZ,CESAR C","SANDOVAL CHAVEZ,CESAR IGNACIO",92.3076923076923
"CHAVEZ,CESAR C","VALDEZ CHAVEZ,CESAR ENRIQUE",92.3076923076923
"MAYA FLORES,ETEL","MAYA FLORES,ETEL",100.0
"SANCHEZ VALENTE,JAIME","SANCHEZ VALENTE,JAIME",100.0
"RODRIGUEZ HERNANDEZ,ANDREA","RODRIGUEZ HERNANDEZ,ANNIA",90.19607843137254
"QUINTANA SOLORZANO,ROBERTO","QUINTANA SOLORZANO,ROBERTO",100.0
"DEL ANGEL VICENTE,PAZ","DEL ANGEL VICENTE,PAZ",100.0
"ARMENDARIZ HERRERA,HECTOR","ARMENDARIZ HERRERA,HECTOR",100.0
"GUZMAN CASTILLO,MARIA DE LOURDES ALEJANDRA","GUZMAN CASTILLO,MARIA DE LOURDES ALEJANDRA",100.0
"SANCHEZ,JOHN EDER","SANCHEZ,JOHN EDER",100.0
"SANTOYO,FERNANDO MENDOZA","MENDOZA SANTOYO,BERNARDO",91.66666666666667
"GONZALEZ,FRANCISCO JAVIER","AVELAR GONZALEZ,FRANCISCO JAVIER",100.0
"GONZALEZ,FRANCISCO JAVIER","DE LA TORRE GONZALEZ,FRANCISCO JAVIER",100.0
"GONZALEZ,FRANCISCO JAVIER","VALDEZ GONZALEZ,FRANCISCO JAVIER",100.0
"VELAZQUEZ SALAZAR,J JESUS","VELAZQUEZ SALAZAR,J. JESUS",98.03921568627452
"PONCE PEDRAZA,ARTURO","PONCE PEDRAZA,ARTURO",100.0
"JOSE YACAMAN,MIGUEL","JOSE Y YACAMAN,MIGUEL",100.0
"HERNANDEZ SUAREZ,ROGELIO","HERNANDEZ SUAREZ,ROGELIO",100.0
"JIMENEZ CRUZ,FEDERICO JESUS","JIMENEZ CRUZ,FEDERICO JESUS",100.0
"MARIN ROSAS,CELIA","MARIN ROSAS,CELIA",100.0
"CASTANEDA LOPEZ,LUIS CARLOS","CASTANEDA LOPEZ,LUIS CARLOS",100.0
"MURRIETA GUEVARA,FLORENTINO RAFAEL","MURRIETA GUEVARA,FLORENTINO RAFAEL",100.0
"LOPEZ LIMA,JOSE DANIEL","LOPEZ LIMA,JOSE DANIEL",100.0
"CARRION VILLARNOVO,GLORIA LUZ LAURA","CARRION VILLARNOVO,GLORIA LUZ LAURA",100.0
"MARTINEZ LOPEZ,JOSE MANUEL","MARTINEZ LOPEZ,JOSE ISMAEL",92.3076923076923
"ALEMAN VAZQUEZ,LAURA OLIVIA","ALEMAN VAZQUEZ,LAURA OLIVIA",100.0
"ZENTENO RAMIREZ,ANTONIO","ZENTENO RAMIREZ,ANTONIO",100.0
"LEDESMA OROZCO,ELIAS RIGOBERTO","LEDESMA OROZCO,ELIAS RIGOBERTO",100.0
"ACEVES,SALVADOR M","BOTELLO ACEVES,SALVADOR",93.75
"ACEVES,SALVADOR M","RIVAS ACEVES,SALVADOR",93.75
"ALCANTAR CAMARENA,VICTOR ALFONSO","ALCANTAR CAMARENA,VICTOR ALFONSO",100.0
"CANO,GUSTAVO","GUTIERREZ CANO,GUSTAVO",100.0
"JIMENEZ HERNANDEZ,ALVARO","JIMENEZ HERNANDEZ,ELVA",91.30434782608695
"CALDERON,HECTOR A","LOPEZ CALDERON,HECTOR DANIEL",93.75
"LOPEZ,MARIO","AGUIRRE LOPEZ,MARIO ALBERTO",100.0
"LOPEZ,MARIO","CASANUEVA LOPEZ,MARIO EUGENIO JOSE",100.0
"LOPEZ,MARIO","COSMES LOPEZ,MARIO FERNANDO",100.0
"LOPEZ,MARIO","HERNANDEZ LOPEZ,MARIO HUMBERTO",100.0
"LOPEZ,MARIO","MACHADO LOPEZ,MARIO MISAEL",100.0
"ZAVALA,RICARDO","LOPEZ ZAVALA,RICARDO",100.0
"ZAVALA,RICARDO","OROZCO ZAVALA,RICARDO",100.0
"CRUZ,CLAUDIA","GONZALEZ CRUZ,CLAUDIA AIDE",100.0
"CRUZ,CLAUDIA","PEREZ CRUZ,CLAUDIA",100.0
"CRUZ,CLAUDIA","TREVINO SANTA CRUZ,CLAUDIA LYDIA",100.0
"LUNA,EDGAR","LOPEZ LUNA,EDGAR",100.0
"LUNA,EDGAR","VILLAR LUNA,EDGAR",100.0
"FERNANDEZ,JUAN","ACEVEDO FERNANDEZ,JUAN JOSE",100.0
"FERNANDEZ,JUAN","BARAJAS FERNANDEZ,JUAN",100.0
"FERNANDEZ,JUAN","BELTRAN FERNANDEZ,JUAN ALFONSO",100.0
"FERNANDEZ,JUAN","LEAL Y FERNANDEZ,JUAN FELIPE",100.0
"FERNANDEZ,JUAN","RAMIREZ FERNANDEZ,JUAN ALONSO",100.0
"VALLEJO GALLAND,BELINDA","VALLEJO GALLAND,BELINDA",100.0
"RODRIGUEZ FIGUEROA,JOSE CARLOS","RODRIGUEZ FIGUEROA,JOSE CARLOS",100.0
"GONZALEZ CORDOVA,AARON FERNANDO","GONZALEZ CORDOVA,AARON FERNANDO",100.0
"ESTRADA,EDUARDO","SANTELLANO ESTRADA,EDUARDO",100.0
"CORONADO,EDUARDO","SANCHEZ CORONADO,EDUARDO MAEL",100.0
"LOPEZ,MARTIN","BALTAZAR LOPEZ,MARTIN EDUARDO",100.0
"LOPEZ,MARTIN","GONZALEZ LOPEZ,MARTIN ESTEBAN",100.0
"HERNANDEZ,HERIBERTO","RODRIGUEZ HERNANDEZ,HERIBERTO",100.0
"CANO,JORGE","FLORES CANO,JORGE ALBERTO",100.0
"CANO,JORGE","RAMIREZ CANO,JORGE ALBERTO",100.0
"GONZALEZ,PEDRO","GARNICA GONZALEZ,PEDRO",100.0
"GONZALEZ,PEDRO","RAMIREZ GONZALEZ,PEDRO EZEQUIEL",100.0
"GONZALEZ,PEDRO","REYNA GONZALEZ,PEDRO CESAR",100.0
"GONZALEZ,PEDRO","TORRES GONZALEZ,PEDRO",100.0
"GONZALEZ,PEDRO","VILLASENOR GONZALEZ,PEDRO",100.0
"RODRIGUEZ,JUAN","AGUILAR RODRIGUEZ,JUAN ANTONIO",100.0
"RODRIGUEZ,JUAN","APARICIO RODRIGUEZ,JUAN MANUEL",100.0
"RODRIGUEZ,JUAN","ARRIAGA RODRIGUEZ,JUAN CARLOS",100.0
"RODRIGUEZ,JUAN","BAEZA RODRIGUEZ,JUAN JOSE",100.0
"RODRIGUEZ,JUAN","BERMUDEZ RODRIGUEZ,JUAN CARLOS",100.0
"VELAZQUEZ,MARCO","VELASCO VELAZQUEZ,MARCO ANTONIO",100.0
"GOMEZ,JAIME","ALCALA GOMEZ,JAIME",100.0
"GOMEZ,JAIME","ARIAS GOMEZ,JAIME",100.0
"GOMEZ,JAIME","GOMEZ GOMEZ,JAIME FRANCISCO",100.0
"SOTO,MIGUEL","VELASCO SOTO,MIGUEL ANGEL",100.0
"AQUINO OLIVOS,MARCO ANTONIO","AQUINO OLIVOS,MARCO ANTONIO",100.0
"SUAREZ,JOSE LUIS","HERNANDEZ SUAREZ,JOSE LUIS",100.0
"CAMACHO PEREZ,JOSE RODRIGO","CAMACHO PEREZ,JOSE RODRIGO",100.0
"PEREZ,HECTOR","BENITEZ PEREZ,HECTOR",100.0
"PEREZ,HECTOR","BRAVO PEREZ,HECTOR MANUEL",100.0
"PEREZ,HECTOR","CAMARENA PEREZ,HECTOR OCTAVIO",100.0
"PEREZ,HECTOR","ESPINOSA PEREZ,HECTOR SALVADOR",100.0
"PEREZ,HECTOR","FERRAL PEREZ,HECTOR",100.0
"SOTELO,JORGE","NIETO SOTELO,JORGE",100.0
"LOPEZ MEYER,PAULO","LOPEZ MEYER,PAULO",100.0
"GARCIA MARTINEZ,MOISES","GARCIA MARTINEZ,MOISES",100.0
"CAMPOS CANTON,ERIC","CAMPOS CANTON,ERIC",100.0
"MADRIGAL,JOSE","BARRAZA MADRIGAL,JOSE ANTONIO",100.0
"GARCIA,GUSTAVO","PONCE GARCIA,GUSTAVO",100.0
"SANCHEZ,JOSE MARTINEZ","MARTINEZ SANCHEZ,JOSE FRANCISCO",100.0
"SANCHEZ,JOSE MARTINEZ","MARTINEZ SANCHEZ,JOSE LUIS",100.0
"SANCHEZ,JOSE MARTINEZ","MARIN SANCHEZ,JOSE",92.3076923076923
"SONI GUTIERREZ,LUIS HUMBERTO","GUTIERREZ,LUIS",100.0
"RODRIGUEZ,ANGEL","DAGO RODRIGUEZ,ANGEL ERNESTO",100.0
"RODRIGUEZ,ANGEL","LICONA RODRIGUEZ,ANGEL RICARDO",100.0
"RODRIGUEZ,ANGEL","MACEDO RODRIGUEZ,ANGEL ALFONSO",100.0
"RODRIGUEZ,ANGEL","MARTINEZ RODRIGUEZ,ANGEL ERVEY",100.0
"RODRIGUEZ,ANGEL","POLANCO RODRIGUEZ,ANGEL GABRIEL",100.0
"CISNEROS DEVORA,RODOLFO","CISNEROS DEVORA,RODOLFO",100.0
"NIETO ALVAREZ,DAVID AARON","NIETO ALVAREZ,DAVID ARROON",94.11764705882354
"PONS JIMENEZ,MIRNA","PONS JIMENEZ,MIRNA",100.0
"LUNA ROJERO,ERICK EMANUEL","LUNA ROJERO,ERICK EMANUEL",100.0
"MENA CERVANTES,VIOLETA YAZMIN","MENA CERVANTES,VIOLETA YASMIN",96.55172413793103
"MARQUEZ,ADRIAN","VAZQUEZ MARQUEZ,ADRIAN",100.0
"SANTANA,MIGUEL ANGEL","CASILLAS SANTANA,MIGUEL ANGEL",100.0
"CORDOURIER MARURI,HECTOR","CORDOURIER MARURI,HECTOR ALFONSO",100.0
"ZAMORA ESQUIVEL,JULIO","ZAMORA ESQUIVEL,JULIO CESAR",100.0
"MEZA,MARCO","ADAME MEZA,MARCO ANTONIO",100.0
"MEZA,MARCO","GOMEZ MEZA,MARCO VINICIO",100.0
"MORALES ROJAS,HUGO","MORALES ROJAS,HUGO",100.0
"DOMINGUEZ CHAVEZ,JORGE GUILLERMO","DOMINGUEZ CHAVEZ,JORGE GUILLERMO",100.0
"MONDRAGON VASQUEZ,KARINA","MONDRAGON VASQUEZ,KARINA",100.0
"HERRERA RUIZ,DEA","HERRERA RUIZ,DEA",100.0
"MENDEZ,MIGUEL","AGUILAR MENDEZ,MIGUEL ANGEL",100.0
"CEVADA MAYA,ENRIQUE","CEVADA MAYA,ENRIQUE",100.0
"HERNANDEZ CARBAJAL,EDGAR IVAN","HERNANDEZ CARBAJAL,EDGAR IVAN",100.0
"MORENO,SERGIO","LOPEZ MORENO,SERGIO",100.0
"MORENO,SERGIO","MEDINA MORENO,SERGIO ALEJANDRO",100.0
"GONZALEZ ROMERO,ADRIAN","GONZALEZ ROMO,ADRIAN",95.23809523809524
"CADENA NAVA,RUBEN D","CADENA NAVA,RUBEN DARIO",94.44444444444444
"HERNANDEZ,ALVARO JIMENEZ","JIMENEZ HERNANDEZ,ELVA",91.30434782608695
"BEAS BUJANOS,JOAQUIN","BEAS BUJANOS,JOAQUIN",100.0
"LUIS LOPEZ,JOSE","AGUILAR LOPEZ,JOSE LUIS",100.0
"LUIS LOPEZ,JOSE","ANAYA LOPEZ,JOSE LUIS",100.0
"LUIS LOPEZ,JOSE","APARICIO LOPEZ,JOSE LUIS",100.0
"LUIS LOPEZ,JOSE","BALDERAS LOPEZ,JOSE LUIS",100.0
"LUIS LOPEZ,JOSE","BATIZ LOPEZ,JOSE LUIS",100.0
"SANCHEZ,JORGE","ALMARAL SANCHEZ,JORGE LUIS",100.0
"SANCHEZ,JORGE","ALONSO SANCHEZ,JORGE",100.0
"SANCHEZ,JORGE","ARANDA SANCHEZ,JORGE ISIDRO",100.0
"SANCHEZ,JORGE","ARIZMENDI SANCHEZ,JORGE ARTURO",100.0
"SANCHEZ,JORGE","CANTU SANCHEZ,JORGE",100.0
"VERA MONTENEGRO,REMEDIOS YOLANDA","VERA MONTENEGRO,REMEDIOS YOLANDA",100.0
"HERNANDEZ CAMPOS,MARIA ALICIA","HERNANDEZ CAMPOS,MARIA ALICIA",100.0
"CASTILLO BOCANEGRA,RAFAEL","CASTILLO BOCANEGRA,RAFAEL",100.0
"FLORES RAMOS,MIGUEL ANGEL","FLORES RAMOS,MIGUEL ANGEL",100.0
"IBARRA VELARDE,OSVALDO FROYLAN","IBARRA VELARDE,OSVALDO FROYLAN",100.0
"NORENA FRANCO,LUIS","NORENA FRANCO,LUIS ENRIQUE",100.0
"SALDIVAR GUERRA,ENRIQUE","SALDIVAR GUERRA,ENRIQUE",100.0
"INFANTE MARTINEZ,JOSE RAMIRO","INFANTE MARTINEZ,JOSE RAMIRO",100.0
"AGUILAR PLIEGO,JULIA","AGUILAR PLIEGO,JULIA",100.0
"GUTIERREZ ARZALUZ,MIRELLA","GUTIERREZ ARZALUZ,MIRELLA",100.0
"SEGURA PACHECO,BLANCA ANGELICA","SEGURA PACHECO,BLANCA ANGELICA",100.0
"CABRERA AQUINO,JOSE GUSTAVO","CABRERA AQUINO,JOSE GUSTAVO",100.0
"GARCIA,ALEJANDRO","AGUILAR GARCIA,ALEJANDRO",100.0
"GARCIA,ALEJANDRO","ALONZO GARCIA,ALEJANDRO",100.0
"GARCIA,ALEJANDRO","ALVARADO GARCIA,ALEJANDRO",100.0
"GARCIA,ALEJANDRO","ARGAEZ GARCIA,ALEJANDRO",100.0
"GARCIA,ALEJANDRO","AVILA GARCIA,ALEJANDRO",100.0
"GOMEZ,LEON","OLIVERA GOMEZ,LEON DAVID",100.0
"RAMIREZ DE SANTIAGO,CARLOS","RAMIREZ DE SANTIAGO,MARIO",90.19607843137254
"MENDOZA,HECTOR R","BERNAL MENDOZA,HECTOR",93.33333333333333
"MENDOZA,HECTOR R","HERNANDEZ MENDOZA,HECTOR HUGO",93.33333333333333
"MORENO,ALEJANDRO","ARAGON MORENO,ALEJANDRO ANTONIO",100.0
"MORENO,ALEJANDRO","JARAMILLO MORENO,ALEJANDRO",100.0
"DIAZ,LUIS","CACERES DIAZ,LUIS ALBERTO",100.0
"DIAZ,LUIS","CAMACHO DIAZ,LUIS MIGUEL",100.0
"DIAZ,LUIS","CASTILLO DIAZ,LUIS ALBERTO",100.0
"DIAZ,LUIS","ORDAZ DIAZ,LUIS ALBERTO",100.0
"DIAZ,LUIS","VILLA DIAZ,LUIS GERARDO",100.0
"FELDMAN,AARON","LOPEZ FELDMAN,AARON BENJAMIN",100.0
"RODRIGUEZ,ERIC O","HERNANDEZ RODRIGUEZ,ERIC NOE",93.33333333333333
"RODRIGUEZ,ERIC O","MURILLO RODRIGUEZ,ERIC SIMON",93.33333333333333
"RONICKE,STEPHAN","RONICKE,STEPHAN",100.0
"GUERRERO,DANIEL","GARCIA GUERRERO,DANIEL ALFONSO",100.0
"MARTINEZ,LUIS","ARENAS MARTINEZ,LUIS FERNANDO",100.0
"MARTINEZ,LUIS","CANO MARTINEZ,LUIS JAVIER",100.0
"MARTINEZ,LUIS","CARRILLO MARTINEZ,LUIS ANTONIO",100.0
"MARTINEZ,LUIS","CASTORENA MARTINEZ,LUIS ABEL",100.0
"MARTINEZ,LUIS","CERCA MARTINEZ,LUIS MARIANO",100.0
"SMITH,MICHAEL","SMITH,MICHAEL WILLIAM",100.0
"HODGKINS,ROBERT PETER","HODGKINS,ROBERT PETER",100.0
"VILATELA,MARIA ELISA ALONSO","ALONSO VILATELA,MARIA ELISA",100.0
"HERNANDEZ,CARLOS","ARCUDIA HERNANDEZ,CARLOS ERNESTO",100.0
"HERNANDEZ,CARLOS","BECERRIL HERNANDEZ,CARLOS DE JESUS",100.0
"HERNANDEZ,CARLOS","BRETON MORA HERNANDEZ,CARLOS",100.0
"HERNANDEZ,CARLOS","CASTANEDA HERNANDEZ,CARLOS EDUARDO",100.0
"HERNANDEZ,CARLOS","CORTEZ HERNANDEZ,CARLOS ALEJANDRO",100.0
"RIVERA SOLORIO,CARLOS IVAN","RIVERA SOLORIO,CARLOS IVAN",100.0
"CARRILLO FUENTEVILLA,ROBERTO","CARRILLO FUENTEVILLA,ROBERTO",100.0
"ESTEVEZ GARCIA,JORGE ALEJANDRO","ESTEVEZ GARCIA,JESUS ALEJANDRO",90.0
"SANTANA RODRIGUEZ,GUILLERMO","SANTANA RODRIGUEZ,GUILLERMO LORENZO",100.0
"FEMAT FLORES,ALEJANDO RICARDO","FEMAT FLORES,ALEJANDRO RICARDO",98.30508474576271
"RIOS JARA,DAVID","RIOS JARA,DAVID",100.0
"ALEXANDROVA,LARISSA","ALEXANDROVA,LARISSA",100.0
"AGUIRRE,DANIEL","GUEVARA AGUIRRE,DANIEL",100.0
"AGUIRRE,DANIEL","LOPEZ AGUIRRE,DANIEL",100.0
"MENDOZA,JESUS","BELTRAN MENDOZA,JESUS QUETZALCOATL",100.0
"MENDOZA,JESUS","LLANDERAL MENDOZA,JESUS",100.0
"MENDOZA,JESUS","MONTOYA MENDOZA,JESUS",100.0
"MENDOZA,JESUS","VILLEGAS MENDOZA,JESUS MANUEL",100.0
"RODRIQUEZ SALINAS,JUAN JOSE","RODRIGUEZ SALINAS,JUAN JOSE",96.29629629629629
"RAMIREZ,EDGAR","LANDA RAMIREZ,EDGAR",100.0
"RAMIREZ,EDGAR","LARA RAMIREZ,EDGAR EDUARDO",100.0
"RAMIREZ,EDGAR","VAZQUEZ RAMIREZ,EDGAR ENRIQUE",100.0
"MARTINEZ,JUAN MANUEL","ESQUIVEL MARTINEZ,JUAN MANUEL",100.0
"MARTINEZ,JUAN MANUEL","HERNANDEZ MARTINEZ,JUAN MANUEL",100.0
"ASTUDILLO DE LA VEGA,HORACIO","ASTUDILLO DE LA VEGA,HORACIO",100.0
"SANCHEZ,LAURA","CLEOFAS SANCHEZ,LAURA",100.0
"SANCHEZ,LAURA","FRANCO SANCHEZ,LAURA MYRIAM",100.0
"FLORES,ALEJANDRO","DAVILA FLORES,ALEJANDRO",100.0
"FLORES,ALEJANDRO","FEMAT FLORES,ALEJANDRO RICARDO",100.0
"FLORES,ALEJANDRO","GARCIA FLORES,ALEJANDRO",100.0
"FLORES,ALEJANDRO","ORDAZ FLORES,ALEJANDRO",100.0
"OLGUIN LORA,PATRICIA","OLGUIN LORA,PATRICIA",100.0
"CASTORENA CORTES,GLADYS TERESA","CASTORENA CORTES,GLADYS TERESA",100.0
"ROLDAN CARRILLO,TERESA GUADALUPE","ROLDAN CARRILLO,TERESA GUADALUPE",100.0
"CAMPOS MACIAS,LEOBARDO","CAMPOS MACIAS,LEOBARDO EMMANUEL",100.0
"GOMEZ GUTIERREZ,DAVID","GOMEZ GUTIERREZ,DAVID",100.0
"FLORES GARCIA,JOSE ANTONIO","LINARES GARCIA,JOSE ANTONIO",90.56603773584905
"CEDENO VIVEROS,LUIS DANIEL","CEDENO VIVEROS,LUIS DANIEL",100.0
"LEON ROVIRA,NOEL","LEON ROVIRA,NOEL",100.0
"GONZALEZ DIAZ,JORGE E","GONZALEZ DIAZ,JORGE IVAN",95.0
"CARBAJAL DE NOVA,CAROLINA","CARBAJAL DE NOVA,CAROLINA",100.0
"HERNANDEZ BELTRAN,FRANCISCO JAVIER","HERNANDEZ BELTRAN,FRANCISCO JAVIER",100.0
"PEREZ ROMO,PATRICIA","PEREZ ROMO,PATRICIA",100.0
"VASQUEZ,KARINA MONDRAGON","MONDRAGON VASQUEZ,KARINA",100.0
"GONZALEZ,ENRIQUE","CAMPOS GONZALEZ,ENRIQUE",100.0
"GONZALEZ,ENRIQUE","DIAZ DE LEON GONZALEZ,ENRIQUE",100.0
"GONZALEZ,ENRIQUE","GONZALEZ GONZALEZ,ENRIQUE",100.0
"GONZALEZ,ENRIQUE","HERNANDEZ GONZALEZ,ENRIQUE OTHON",100.0
"GONZALEZ,ENRIQUE","LUENGO GONZALEZ,ENRIQUE MANUEL",100.0
