numero patente,titulo patente,fecha patente,Patents,NOMBRE_INVENTOR,Inventor,Location,years active,año de inicio,última patente
10000457,Process for preparing imidazolium based ionic liquids with di-polymerized oxirane base,2018-06-19,3,"Lopez Vallejo,Fabiola Irene",Fabiola Irene Lopez Vallejo,"Xico, MX",2014-2018,2014,2018
10000457,Process for preparing imidazolium based ionic liquids with di-polymerized oxirane base,2018-06-19,10,"Dominguez Esquivel,Jose Manuel",Jose Manuel Dominguez Esquivel,"Xico, MX",2006-2024,2006,2024
10000457,Process for preparing imidazolium based ionic liquids with di-polymerized oxirane base,2018-06-19,2,"Miranda Olvera,Alma Delia",Alma Delia Miranda Olvera,"Xico, MX",2017-2018,2017,2018
10000947,Auto-lock system for door window frame lateral retention,2018-06-19,4,"Alarcon Hernandez,Jesus Alfonso",Jesus Alfonso Alarcon Hernandez,"Toluca, MX",2018-2022,2018,2022
10000949,Apparatus and method for preventing undesired engagement of hold open lever in a latch,2018-06-19,51,"Perkins,Donald M",Donald M Perkins,"Sterling Heights, US",1999-2023,1999,2023
10000949,Apparatus and method for preventing undesired engagement of hold open lever in a latch,2018-06-19,16,"Martinez,Alfredo",Alfredo Martinez,"Chihuahua, MX",2001-2022,2001,2022
10000949,Apparatus and method for preventing undesired engagement of hold open lever in a latch,2018-06-19,12,"Vazquez,Francisco Javier",Francisco Javier Vazquez,"Chihuahua, MX",2013-2022,2013,2022
10004028,Paired smart device theft deterrent,2018-06-19,86,"Astigarraga,Tara",Tara Astigarraga,"Fairport, US",2008-2023,2008,2023
10004028,Paired smart device theft deterrent,2018-06-19,94,"Sondhi,Neil",Neil Sondhi,"Pilisborosjen?, HU",2015-2021,2015,2021
10004028,Paired smart device theft deterrent,2018-06-19,213,"Goldberg,Itzhack",Itzhack Goldberg,"Hadera, IL",2008-2024,2008,2024
10004028,Paired smart device theft deterrent,2018-06-19,34,"Mosqueda Mejia,Jose R",Jose R Mosqueda Mejia,"Puruándiro, MX",2017-2022,2017,2022
10004253,"Method for increasing the health condition of crustaceans in aquaculture, survival rate and pigmentation",2018-06-26,2,"Torres Gomez,Carlos",Carlos Torres Gomez,"Monterrey, MX",2003-2018,2003,2018
10004253,"Method for increasing the health condition of crustaceans in aquaculture, survival rate and pigmentation",2018-06-26,6,"Torres Quiroga,Jose Odon",Jose Odon Torres Quiroga,"Monterrey, MX",1996-2018,1996,2018
10005361,Mobile computer retainer for display of vehicle operational data,2018-06-26,10,"Romero Regalado,Adrian",Adrian Romero Regalado,"Cuautitlán Izcalli, MX",2018-2022,2018,2022
10005361,Mobile computer retainer for display of vehicle operational data,2018-06-26,5,"Sic,Steven",Steven Sic,"Troy, US",2009-2023,2009,2023
10006203,Cables lift system for vertical pre-stressing,2018-06-26,1,"Cordero,Alejandro Cortina",Alejandro Cortina Cordero,"Xico, MX",2018-2018,2018,2018
10006203,Cables lift system for vertical pre-stressing,2018-06-26,4,"Cordero,Jose",Jose Cordero,"Xico, MX",1977-2018,1977,2018
10006203,Cables lift system for vertical pre-stressing,2018-06-26,1,"Ortega,Jose Pablo Cortina",Jose Pablo Cortina Ortega,"Xico, MX",2018-2018,2018,2018
10006365,Air supply and conditioning system for a gas turbine,2018-06-26,6,"Moreno,Humberto",Humberto Moreno,"Querétaro, MX",2018-2022,2018,2022
10006365,Air supply and conditioning system for a gas turbine,2018-06-26,1,"Mandujano,Luis Alberto Aguado",Luis Alberto Aguado Mandujano,"Querétaro, MX",2018-2018,2018,2018
10006365,Air supply and conditioning system for a gas turbine,2018-06-26,1,"Ramirez,Juan Leonardo Soria",Juan Leonardo Soria Ramirez,"Querétaro, MX",2018-2018,2018,2018
10006365,Air supply and conditioning system for a gas turbine,2018-06-26,1,"Arciga,Ismael Orozco",Ismael Orozco Arciga,"Querétaro, MX",2018-2018,2018,2018
10006531,"Lock-up clutch and torsional vibration damper for hydrokinetic torque coupling device, and related methods",2018-06-26,11,"Yang,Zane",Zane Yang,"Troy, US",2016-2021,2016,2021
10006531,"Lock-up clutch and torsional vibration damper for hydrokinetic torque coupling device, and related methods",2018-06-26,48,"Arhab,Rabah",Rabah Arhab,"Saint-Brice-sous-Forêt, FR",1987-2022,1987,2022
10006531,"Lock-up clutch and torsional vibration damper for hydrokinetic torque coupling device, and related methods",2018-06-26,8,"Kovac,Josip",Josip Kovac,"Northville, US",1991-2018,1991,2018
10006531,"Lock-up clutch and torsional vibration damper for hydrokinetic torque coupling device, and related methods",2018-06-26,5,"Medellin,Alfonso",Alfonso Medellin,"Moctezuma, MX",2016-2019,2016,2019
10006531,"Lock-up clutch and torsional vibration damper for hydrokinetic torque coupling device, and related methods",2018-06-26,22,"Lee,Sungchul",Sungchul Lee,"Troy, US",1994-2023,1994,2023
10006663,"Device designed to maximize the efficiency and minimize the consumption of  both, water and energy, in the utilization of hot water",2018-06-26,1,"Orozco Perez,Juan Alberto de Jesus",Juan Alberto de Jesus Orozco Perez,"Villa de Cos, MX",2018-2018,2018,2018
10008133,Label sheet assembly and method of making the same,2018-06-26,1,"Hernandez,Alejandro Gerardo Veyna",Alejandro Gerardo Veyna Hernandez,"Tijuana, MX",2018-2018,2018,2018
10008133,Label sheet assembly and method of making the same,2018-06-26,8,"Novak,Michael",Michael Novak,"Granby, US",1990-2019,1990,2019
10008133,Label sheet assembly and method of making the same,2018-06-26,29,"Ugolick,Ronald",Ronald Ugolick,"San Dimas, US",1997-2023,1997,2023
10008133,Label sheet assembly and method of making the same,2018-06-26,39,"Hodsdon,Jerry G",Jerry G Hodsdon,"Mashpee, US",2000-2021,2000,2021
10008133,Label sheet assembly and method of making the same,2018-06-26,29,"Hong,Le Hoa",Le Hoa Hong,"Temple City, US",2001-2023,2001,2023
10008133,Label sheet assembly and method of making the same,2018-06-26,2,"Brisee,Florence M",Florence M Brisee,"Cohoes, US",2015-2018,2015,2018
10008133,Label sheet assembly and method of making the same,2018-06-26,1,"Villegas,Gildardo Ramirez",Gildardo Ramirez Villegas,"Tijuana, MX",2018-2018,2018,2018
10010052,One piece elegant vest with side joints for pets (animals) velcro joint and fastening system,2018-07-03,1,"Aguiluz Aceves,Antonio Juan Ignacio",Antonio Juan Ignacio Aguiluz Aceves,"Mexico City, MX",2018-2018,2018,2018
10010864,Process for obtaining adsorbent material based on porous silicates for reduction of sulfur and nitrogen in oil fractions,2018-07-03,2,"Flores Sanchez,Patricia",Patricia Flores Sanchez,"Mexico City, MX",2018-2019,2018,2019
10010864,Process for obtaining adsorbent material based on porous silicates for reduction of sulfur and nitrogen in oil fractions,2018-07-03,10,"Dominguez Esquivel,Jose Manuel",Jose Manuel Dominguez Esquivel,"Mexico City, MX",2006-2024,2006,2024
10010864,Process for obtaining adsorbent material based on porous silicates for reduction of sulfur and nitrogen in oil fractions,2018-07-03,7,"Aburto Anell,Jorge Arturo",Jorge Arturo Aburto Anell,"Mexico City, MX",2016-2020,2016,2020
10011221,Lighted visor mirror with a removable lighting module,2018-07-03,40,"Huelke,David",David Huelke,"Milan, US",1999-2021,1999,2021
10011221,Lighted visor mirror with a removable lighting module,2018-07-03,5,"Alanis,Guillermo",Guillermo Alanis,"Estado de México, MX",2014-2018,2014,2018
10011221,Lighted visor mirror with a removable lighting module,2018-07-03,1,"Hernandez,Ramiro Chable",Ramiro Chable Hernandez,"Cuautitlán Izcalli, MX",2018-2018,2018,2018
10011223,Vehicle rotary lamp with variable intensity,2018-07-03,7,"Bhattacharyya,Mahesh",Mahesh Bhattacharyya,"Novi, US",2016-2020,2016,2020
10011223,Vehicle rotary lamp with variable intensity,2018-07-03,15,"Villacres Mesias,Diego Fabricio",Diego Fabricio Villacres Mesias,"San Mateo Atenco, MX",2018-2024,2018,2024
10011223,Vehicle rotary lamp with variable intensity,2018-07-03,3,"Cervantes Guarneros,Guillermo Cesar",Guillermo Cesar Cervantes Guarneros,"Atizapán de Zaragoza, MX",2018-2022,2018,2022
10011223,Vehicle rotary lamp with variable intensity,2018-07-03,737,"Salter,Stuart C",Stuart C Salter,"White Lake, US",1990-2024,1990,2024
10011223,Vehicle rotary lamp with variable intensity,2018-07-03,488,"Dellock,Paul Kenneth",Paul Kenneth Dellock,"Northville, US",2002-2024,2002,2024
10011234,Vehicle garment hook assembly,2018-07-03,4,"Tena Han,Luis Adrian",Luis Adrian Tena Han,"Tlalnepantla, MX",2018-2020,2018,2020
10011234,Vehicle garment hook assembly,2018-07-03,5,"Vargas Garcia,Carmen Frida",Carmen Frida Vargas Garcia,"Cuautitlán Izcalli, MX",2018-2020,2018,2020
10011238,Space filler with a vacuum cover,2018-07-03,4,"Garcia Ruiz,Emmanuel",Emmanuel Garcia Ruiz,"San Miguel Ajusco, MX",2017-2019,2017,2019
10011238,Space filler with a vacuum cover,2018-07-03,3,"Castro,Sergio",Sergio Castro,"Cuernavaca, MX",2017-2024,2017,2024
10011509,Method and system for the integral treatment of wastewater from the maize industry,2018-07-03,1,"Reyes Vidal,Maria Yolanda",Maria Yolanda Reyes Vidal,"Hermosillo, MX",2018-2018,2018,2018
10011509,Method and system for the integral treatment of wastewater from the maize industry,2018-07-03,2,"Asaff Torres,Ali",Ali Asaff Torres,"Hermosillo, MX",2018-2022,2018,2022
10011908,"Corrosion inhibition composition for pipelines, process of elaboration and synthesis",2018-07-03,4,"Marin Cruz,Jesus",Jesus Marin Cruz,"Mexico City, MX",2018-2020,2018,2020
10011908,"Corrosion inhibition composition for pipelines, process of elaboration and synthesis",2018-07-03,13,"ESTRADA MARTINEZ,Arquimedes",Arquimedes ESTRADA MARTINEZ,"Mexico City, MX",2016-2020,2016,2020
10011908,"Corrosion inhibition composition for pipelines, process of elaboration and synthesis",2018-07-03,2,"Vega Paz,Araceli",Araceli Vega Paz,"Mexico City, MX",2018-2020,2018,2020
10011908,"Corrosion inhibition composition for pipelines, process of elaboration and synthesis",2018-07-03,2,"Montiel Sanchez,Luisa Elena",Luisa Elena Montiel Sanchez,"Mexico City, MX",2018-2020,2018,2020
10011908,"Corrosion inhibition composition for pipelines, process of elaboration and synthesis",2018-07-03,9,"Martinez Palou,Rafael",Rafael Martinez Palou,"Mexico City, MX",2013-2020,2013,2020
10011908,"Corrosion inhibition composition for pipelines, process of elaboration and synthesis",2018-07-03,3,"Quej Ake,Luis Manuel",Luis Manuel Quej Ake,"Mexico City, MX",2016-2020,2016,2020
10011908,"Corrosion inhibition composition for pipelines, process of elaboration and synthesis",2018-07-03,2,"Sanchez Garcia,Veronica",Veronica Sanchez Garcia,"Mexico City, MX",2018-2020,2018,2020
10011908,"Corrosion inhibition composition for pipelines, process of elaboration and synthesis",2018-07-03,3,"Benitez Aguilar,Jose Luis Rodolfo",Jose Luis Rodolfo Benitez Aguilar,"Mexico City, MX",2018-2020,2018,2020
10011908,"Corrosion inhibition composition for pipelines, process of elaboration and synthesis",2018-07-03,6,"Castillo Cervantes,Salvador",Salvador Castillo Cervantes,"Mexico City, MX",2017-2020,2017,2020
10013570,Data management for a mass storage device,2018-07-03,9,"Orozco Cervantes,Humberto",Humberto Orozco Cervantes,"Cabeza de Toro, MX",2016-2024,2016,2024
10013570,Data management for a mass storage device,2018-07-03,1,"Hernandez Gonzalez,Guillermo",Guillermo Hernandez Gonzalez,"Coyula, MX",2018-2018,2018,2018
10013570,Data management for a mass storage device,2018-07-03,16,"Llamas Virgen,Paul",Paul Llamas Virgen,"Ciudad Juárez, MX",2018-2024,2018,2024
10015229,Metadata sharing to decrease file transfer time,2018-07-03,55,"Harrington,Shaun E",Shaun E Harrington,"Tucson, US",2016-2023,2016,2023
10015229,Metadata sharing to decrease file transfer time,2018-07-03,53,"Barajas Gonzalez,Emmanuel",Emmanuel Barajas Gonzalez,"Las Pintitas, MX",2016-2023,2016,2023
10015229,Metadata sharing to decrease file transfer time,2018-07-03,1,"Rawlins,Ben",Ben Rawlins,"Tucson, US",2018-2018,2018,2018
10016691,"Water bucket games, systems, and methods",2018-07-10,23,"Tong,Ricky",Ricky Tong,"Nanhu, CN",2013-2024,2013,2024
10016691,"Water bucket games, systems, and methods",2018-07-10,29,"Ocegueda Gallaga,Victor Hugo",Victor Hugo Ocegueda Gallaga,"Baja California, MX",2018-2024,2018,2024
10017122,Vehicle storage compartment with reinforced mounting structure,2018-07-10,1,"Belmares,Alan Rafael",Alan Rafael Belmares,"Aguascalientes, MX",2018-2018,2018,2018
10017122,Vehicle storage compartment with reinforced mounting structure,2018-07-10,71,"Hirota,Toshiyuki",Toshiyuki Hirota,"Aguascalientes, MX",1994-2022,1994,2022
10017128,Telescopic load floor structure,2018-07-10,2,"Castro Mercado,Sergio Irving",Sergio Irving Castro Mercado,"Cuernavaca, MX",2018-2019,2018,2019
10017128,Telescopic load floor structure,2018-07-10,4,"Garcia Ruiz,Emmanuel",Emmanuel Garcia Ruiz,"San Miguel Ajusco, MX",2017-2019,2017,2019
10017129,Assembly component incorporating multi-step doghouse,2018-07-10,15,"Villacres Mesias,Diego Fabricio",Diego Fabricio Villacres Mesias,"Villa de Cos, MX",2018-2024,2018,2024
10017129,Assembly component incorporating multi-step doghouse,2018-07-10,5,"Avendano Arenas,Pamela",Pamela Avendano Arenas,"Mexico City, MX",2018-2023,2018,2023
10017134,Locking retainer system for automotive assembly,2018-07-10,13,"Morales,Jesus R",Jesus R Morales,"Chihuahua, MX",1999-2023,1999,2023
10017134,Locking retainer system for automotive assembly,2018-07-10,1,"Pickens,Ryan J",Ryan J Pickens,"Auburn Hills, US",2018-2018,2018,2018
10017397,Nanostructured titania semiconductor material and its production process,2018-07-10,5,"MEJIA CENTENO,Isidro",Isidro MEJIA CENTENO,"Mexico City, MX",2017-2021,2017,2021
10017397,Nanostructured titania semiconductor material and its production process,2018-07-10,2,"Montoya De La Fuente,J Ascension",J Ascension Montoya De La Fuente,"Mexico City, MX",2017-2018,2017,2018
10017397,Nanostructured titania semiconductor material and its production process,2018-07-10,6,"Castillo Cervantes,Salvador",Salvador Castillo Cervantes,"Mexico City, MX",2017-2020,2017,2020
10017397,Nanostructured titania semiconductor material and its production process,2018-07-10,2,"Vargas Escudero,Alfredo",Alfredo Vargas Escudero,"Mexico City, MX",2017-2018,2017,2018
10017397,Nanostructured titania semiconductor material and its production process,2018-07-10,3,"Moran Pineda,Florencia Marina",Florencia Marina Moran Pineda,"Mexico City, MX",1996-2018,1996,2018
10017397,Nanostructured titania semiconductor material and its production process,2018-07-10,4,"Camposeco Solis,Roberto",Roberto Camposeco Solis,"Mexico City, MX",2017-2020,2017,2020
10017397,Nanostructured titania semiconductor material and its production process,2018-07-10,3,"Navarrete Bolanos,Juan",Juan Navarrete Bolanos,"Mexico City, MX",2017-2022,2017,2022
10017600,Adhesive composition,2018-07-10,7,"Miyake,Kevin K",Kevin K Miyake,"Ringwood, US",2011-2023,2011,2023
10017600,Adhesive composition,2018-07-10,5,"Domenech,Angels",Angels Domenech,"São Paulo, BR",2014-2020,2014,2020
10017600,Adhesive composition,2018-07-10,3,"Cipro,Mateus Batista Torres",Mateus Batista Torres Cipro,"São Paulo, BR",2018-2023,2018,2023
10017600,Adhesive composition,2018-07-10,6,"Casarrubias,Juan Carlos",Juan Carlos Casarrubias,"Mexico City, MX",2018-2023,2018,2023
10017831,Bacterial cultures of Acidithiobacillus thiooxidans and their use in the treatment of materials containing sulfur-compounds,2018-07-10,1,"Gomez Ramirez,Marlenne",Marlenne Gomez Ramirez,"Mexico City, MX",2018-2018,2018,2018
10017831,Bacterial cultures of Acidithiobacillus thiooxidans and their use in the treatment of materials containing sulfur-compounds,2018-07-10,7,"Aburto Anell,Jorge Arturo",Jorge Arturo Aburto Anell,"Mexico City, MX",2016-2020,2016,2020
10017831,Bacterial cultures of Acidithiobacillus thiooxidans and their use in the treatment of materials containing sulfur-compounds,2018-07-10,2,"Garcia De Leon,Roberto",Roberto Garcia De Leon,"Mexico City, MX",2018-2021,2018,2021
10017831,Bacterial cultures of Acidithiobacillus thiooxidans and their use in the treatment of materials containing sulfur-compounds,2018-07-10,1,"Rojas Avelizapa,Norma Gabriela",Norma Gabriela Rojas Avelizapa,"Mexico City, MX",2018-2018,2018,2018
10017831,Bacterial cultures of Acidithiobacillus thiooxidans and their use in the treatment of materials containing sulfur-compounds,2018-07-10,1,"Hernandez Gama,Regina",Regina Hernandez Gama,"Mexico City, MX",2018-2018,2018,2018
10017967,Apparatus and method for hold open feature in a latch,2018-07-10,12,"Vazquez,Francisco Javier",Francisco Javier Vazquez,"Chihuahua, MX",2013-2022,2013,2022
10017967,Apparatus and method for hold open feature in a latch,2018-07-10,16,"Martinez,Alfredo",Alfredo Martinez,"Chihuahua, MX",2001-2022,2001,2022
10017967,Apparatus and method for hold open feature in a latch,2018-07-10,51,"Perkins,Donald M",Donald M Perkins,"Sterling Heights, US",1999-2023,1999,2023
10019335,Systems and methods for processing test results,2018-07-10,3,"Tule,Jesus Alejandro",Jesus Alejandro Tule,"Mexicali, MX",2017-2018,2017,2018
10020599,Connector back shell assembly,2018-07-10,1,"Cabello,Alejandro Garcia",Alejandro Garcia Cabello,"Coahuila, MX",2018-2018,2018,2018
10020599,Connector back shell assembly,2018-07-10,1,"Lepez,Dennis Garcia",Dennis Garcia Lepez,"Coahuila, MX",2018-2018,2018,2018
10020599,Connector back shell assembly,2018-07-10,1,"Hernandez,Cynthia Fraga",Cynthia Fraga Hernandez,"Coahuila, MX",2018-2018,2018,2018
10021765,Intelligent switch device and central control system thereof,2018-07-10,1,"Puc Poot,Francisco Antonio",Francisco Antonio Puc Poot,"Miguel Alemán, MX",2018-2018,2018,2018
10021765,Intelligent switch device and central control system thereof,2018-07-10,2,"Ramirez,Carlos Mucino",Carlos Mucino Ramirez,"Abdenago C. García (Lagunitas), MX",2018-2020,2018,2020
10021765,Intelligent switch device and central control system thereof,2018-07-10,5,"Soto,Gerardo Gomez",Gerardo Gomez Soto,"Tezoyuca, MX",2000-2020,2000,2020
10021765,Intelligent switch device and central control system thereof,2018-07-10,1,"Garcia,Josue Saul Rosario",Josue Saul Rosario Garcia,"Ixtapaluca, MX",2018-2018,2018,2018
10021765,Intelligent switch device and central control system thereof,2018-07-10,1,"Flores,Nelly Adriana Estrada",Nelly Adriana Estrada Flores,"Abdenago C. García (Lagunitas), MX",2018-2018,2018,2018
10021765,Intelligent switch device and central control system thereof,2018-07-10,2,"Rios,Edmundo Leyva",Edmundo Leyva Rios,"La Paz, MX",2018-2020,2018,2020
10021765,Intelligent switch device and central control system thereof,2018-07-10,1,"Castillo Barcenas,Fidel Nahum",Fidel Nahum Castillo Barcenas,"Temamatla, MX",2018-2018,2018,2018
10021765,Intelligent switch device and central control system thereof,2018-07-10,3,"Zenteno,Leobardo Stephen Lincoln Strange",Leobardo Stephen Lincoln Strange Zenteno,"Gustavo A. Madero, MX",2018-2019,2018,2019
10021765,Intelligent switch device and central control system thereof,2018-07-10,1,"Abundis,Hector Munguia",Hector Munguia Abundis,"Tlalnepantla, MX",2018-2018,2018,2018
10021765,Intelligent switch device and central control system thereof,2018-07-10,2,"Yomtow,Samuel Nurko",Samuel Nurko Yomtow,"Huixquilucan de Degollado, MX",2018-2022,2018,2022
10021765,Intelligent switch device and central control system thereof,2018-07-10,1,"Leyva Rios,Marco Polo",Marco Polo Leyva Rios,"Fracc. Ciudad Olmeca, MX",2018-2018,2018,2018
10021765,Intelligent switch device and central control system thereof,2018-07-10,6,"Elliot,Dan Nurko",Dan Nurko Elliot,"Santiago Yancuitlalpan, MX",2018-2022,2018,2022
10021797,Electrical center mounting-bracket,2018-07-10,11,"Rodriguez,Erick A",Erick A Rodriguez,"Chihuahua, MX",2010-2021,2010,2021
10021797,Electrical center mounting-bracket,2018-07-10,5,"Loew,Michael F",Michael F Loew,"El Paso, US",2012-2019,2012,2019
10021842,Irrigation controllers with enhanced alternating current switching devices,2018-07-17,3,"Reyes Archundia,Angel",Angel Reyes Archundia,"Tijuana, MX",2018-2023,2018,2023
10021842,Irrigation controllers with enhanced alternating current switching devices,2018-07-17,5,"Martinez,Martin Castaneda",Martin Castaneda Martinez,"El Cajon, US",2001-2018,2001,2018
10021883,High speed rinsing solution application,2018-07-17,2,"Leiner,Andrew Michael",Andrew Michael Leiner,"Gold Coast, AU",2018-2019,2018,2019
10021883,High speed rinsing solution application,2018-07-17,2,"Tooley,Earnest DeWayne",Earnest DeWayne Tooley,"Hudson, US",2018-2019,2018,2019
10021883,High speed rinsing solution application,2018-07-17,2,"Arche,Ulises Pardo",Ulises Pardo Arche,"Heroica Caborca, MX",2018-2019,2018,2019
10022841,Nonwoven abrasive article with extended life,2018-07-17,4,"Gomez,Alejandro",Alejandro Gomez,"San Fernando, MX",1993-2018,1993,2018
10022841,Nonwoven abrasive article with extended life,2018-07-17,11,"Hsu,Shyiguei",Shyiguei Hsu,"Roma, US",1991-2023,1991,2023
10022841,Nonwoven abrasive article with extended life,2018-07-17,3,"Vela,Godofredo",Godofredo Vela,"Roma, US",2018-2018,2018,2018
10023132,Stake joint fastening system,2018-07-17,1,"Torres,Alejandro Barrera",Alejandro Barrera Torres,"Metepec, MX",2018-2018,2018,2018
10023132,Stake joint fastening system,2018-07-17,9,"Dominguez Cuevas,Jesus Edgar",Jesus Edgar Dominguez Cuevas,"Jiutepec, MX",2013-2022,2013,2022
10024557,Water extractor device using scuppers,2018-07-17,3,"Fewell,Mark",Mark Fewell,"Riverside, US",2016-2021,2016,2021
10024557,Water extractor device using scuppers,2018-07-17,1,"Hernandez,Benjamin",Benjamin Hernandez,"Mexicali, MX",2018-2018,2018,2018
10024557,Water extractor device using scuppers,2018-07-17,7,"Faust,Michael B",Michael B Faust,"Redondo Beach, US",2001-2018,2001,2018
10024557,Water extractor device using scuppers,2018-07-17,1,"Zazueta,Marco A",Marco A Zazueta,"Mexicali, MX",2018-2018,2018,2018
10024557,Water extractor device using scuppers,2018-07-17,1,"Nguyen,James L",James L Nguyen,"Westminster, US",2018-2018,2018,2018
10025054,Optical fiber distribution hub with fiber routing structures,2018-07-17,3,"Sanchez Garcia,Sergio",Sergio Sanchez Garcia,"Reynosa, MX",2016-2018,2016,2018
10025054,Optical fiber distribution hub with fiber routing structures,2018-07-17,4,"Montalvo Urbano,Adriana",Adriana Montalvo Urbano,"Reynosa, MX",2016-2019,2016,2019
10025424,Vehicle with headlight control,2018-07-17,2,"Montes,Jhammel",Jhammel Montes,"Plymouth, US",2018-2018,2018,2018
10025424,Vehicle with headlight control,2018-07-17,1,"Cruz Solis,Fernando",Fernando Cruz Solis,"Tlalnepantla, MX",2018-2018,2018,2018
10025424,Vehicle with headlight control,2018-07-17,1,"Amador,Hector",Hector Amador,"Mexico City, MX",2018-2018,2018,2018
10025424,Vehicle with headlight control,2018-07-17,2,"Garcia,Tania",Tania Garcia,"Cuautitlán Izcalli, MX",2018-2018,2018,2018
10026587,Sample holder for scanning electron microscopy (SEM) and atomic force microscopy (AFM),2018-07-17,4,"Leyte Guerrero,Florentino",Florentino Leyte Guerrero,"Copoya, MX",2015-2019,2015,2019
10026587,Sample holder for scanning electron microscopy (SEM) and atomic force microscopy (AFM),2018-07-17,2,"Sadott Pacheco y Alcala,Ubaldo",Ubaldo Sadott Pacheco y Alcala,"Copoya, MX",2018-2018,2018,2018
10026587,Sample holder for scanning electron microscopy (SEM) and atomic force microscopy (AFM),2018-07-17,1,"Velazquez Cruz,David",David Velazquez Cruz,"Copoya, MX",2018-2018,2018,2018
10026587,Sample holder for scanning electron microscopy (SEM) and atomic force microscopy (AFM),2018-07-17,1,"Acosta Garate,Galicia Mabel",Galicia Mabel Acosta Garate,"Copoya, MX",2018-2018,2018,2018
10027051,Hybrid electrical connector,2018-07-17,3,"McInnis,Allison",Allison McInnis,"Detroit, US",2018-2024,2018,2024
10027051,Hybrid electrical connector,2018-07-17,4,"Oberender,Jens",Jens Oberender,"Westerburg, DE",2018-2022,2018,2022
10027051,Hybrid electrical connector,2018-07-17,3,"Reyes,Mario",Mario Reyes,"Chihuahua, MX",2018-2023,2018,2023
10027051,Hybrid electrical connector,2018-07-17,14,"Keller,Robert",Robert Keller,"Gaylord, US",2004-2021,2004,2021
10027051,Hybrid electrical connector,2018-07-17,10,"Ryskamp,Mark",Mark Ryskamp,"Grosse Pointe Park, US",2018-2023,2018,2023
10027051,Hybrid electrical connector,2018-07-17,12,"Manushi,Ligor",Ligor Manushi,"Northville, US",2016-2023,2016,2023
10027051,Hybrid electrical connector,2018-07-17,6,"Moore,Alexander",Alexander Moore,"Ann Arbor, US",2003-2019,2003,2019
10027051,Hybrid electrical connector,2018-07-17,7,"Avalos,Hiram",Hiram Avalos,"Detroit, US",2016-2023,2016,2023
10027051,Hybrid electrical connector,2018-07-17,15,"Schoenfeld,Michael",Michael Schoenfeld,"Echterdingen, DE",1996-2019,1996,2019
10028391,Bussed electrical center,2018-07-17,1,"Meza Ricano,Irving",Irving Meza Ricano,"Chihuahua, MX",2018-2018,2018,2018
10028391,Bussed electrical center,2018-07-17,4,"Reynoso Galvan,Naiki A",Naiki A Reynoso Galvan,"Chihuahua, MX",2018-2021,2018,2021
10028391,Bussed electrical center,2018-07-17,3,"Villanueva Ponce,Rodrigo",Rodrigo Villanueva Ponce,"Chihuahua, MX",2018-2021,2018,2021
