Inventor,NOMBRE_INVENTOR,Patents,Cites,Asignee Inst,Número de coinventores,Co inventoras mujeres,Coinventores extranjeros,Location,years active,año de inicio,última patente,Inicio de patentamiento-obtención de cédula,Género,Grado académico LICENCIATURA,Institución que otorgó el grado LICENCIATURA,INSTITUCIÓN Pública= 1; Privada= 0,# cédula profesional LICENCIATURA,Año de expedición de cedula profesional  LICENCIATURA,Grado académico MAESTRÍA,Institución que otorgó el grado MAESTRÍA,# cédula profesional MAESTRÍA,Año de expedición de cedula profesional  MAESTRÍA,Grado académico DOCTORADO,Institución que otorgó el grado DOCTORADO,# cédula profesional DOCTORADO,Año de expedición de cedula profesional  DOCTORADO,Posgrado SI= 1 NO= 0,Empleo actual,Puesto,Nacionalidad
Robert J Smith,"Smith,Robert J",115,,,,,,"Louisville, US",1976-2024,1976,2024,,,,,,,,,,,,,,,,,,,
Thomas J Smith,"Smith,Thomas J",115,,,,,,"Muskegon, US",1979-2024,1979,2024,,,,,,,,,,,,,,,,,,,
Arvind Srinivasan,"Srinivasan,Arvind",114,,,,,,"San Jose, US",1997-2024,1997,2024,,,,,,,,,,,,,,,,,,,
Jeffrey R Hoy,"Hoy,Jeffrey R",114,,,,,,"Gibsonia, US",2012-2021,2012,2021,,,,,,,,,,,,,,,,,,,
Yuji Yamaguchi,"Yamaguchi,Yuji",114,,,,,,"Kimitsu, JP",1978-2024,1978,2024,,,,,,,,,,,,,,,,,,,
Umeshwar Dayal,"Dayal,Umeshwar",113,,,,,,"Saratoga, US",1997-2019,1997,2019,,,,,,,,,,,,,,,,,,,
Joseph W Dain,"Dain,Joseph W",112,,,,,,"Vail, US",2010-2024,2010,2024,,,,,,,,,,,,,,,,,,,
Meichun Hsu,"Hsu,Meichun",112,,,,,,"Los Altos Hills, US",1995-2023,1995,2023,,,,,,,,,,,,,,,,,,,
Uday R Savagaonkar,"Savagaonkar,Uday R",111,,,,,,"Portland, US",2006-2024,2006,2024,,,,,,,,,,,,,,,,,,,
Louie A Dickens,"Dickens,Louie A",109,,,,,,"Tucson, US",2007-2024,2007,2024,,,,,,,,,,,,,,,,,,,
Shiro Suzuki,"Suzuki,Shiro",109,,,,,,"Folsom, US",1989-2024,1989,2024,,,,,,,,,,,,,,,,,,,
Tanay Karnik,"Karnik,Tanay",109,,,,,,"Portland, US",2002-2023,2002,2023,,,,,,,,,,,,,,,,,,,
Yoshihiro Yamamoto,"Yamamoto,Yoshihiro",109,,,,,,"Beverly Hills, US",1977-2024,1977,2024,,,,,,,,,,,,,,,,,,,
Brian T Davis,"Davis,Brian T",108,,,,,,"Burlington, US",1997-2024,1997,2024,,,,,,,,,,,,,,,,,,,
David L Dean Jr,"Dean, Jr,David L",107,,,,,,"Hickory, US",1988-2023,1988,2023,,,,,,,,,,,,,,,,,,,
David Petrou,"Petrou,David",107,,,,,,"Pittsburgh, US",1996-2024,1996,2024,,,,,,,,,,,,,,,,,,,
Peter G Finn,"Finn,Peter G",107,,,,,,"Markham, CA",2008-2022,2008,2022,,,,,,,,,,,,,,,,,,,
Thaddeus Schroeder,"Schroeder,Thaddeus",107,,,,,,"Rochester Hills, US",1976-2021,1976,2021,,,,,,,,,,,,,,,,,,,
Mark O Scates,"Scates,Mark O",106,,,,,,"Houston, US",1985-2021,1985,2021,,,,,,,,,,,,,,,,,,,
Arta Motadel,"Motadel,Arta",103,,,,,,"San Diego, US",2003-2024,2003,2024,,,,,,,,,,,,,,,,,,,
Daniel Gagnon,"Gagnon,Daniel",103,,,,,,"Shawinigan, CA",1989-2024,1989,2024,,,,,,,,,,,,,,,,,,,
Cherngye Hwang,"Hwang,Cherngye",101,,,,,,"San Jose, US",1990-2024,1990,2024,,,,,,,,,,,,,,,,,,,
Cornelis Reinder Ronda,"Ronda,Cornelis Reinder",101,,,,,,"Aachen, DE",1990-2024,1990,2024,,,,,,,,,,,,,,,,,,,
Joseph Varkey,"Varkey,Joseph",100,,,,,,"Sugar Land, US",2003-2023,2003,2023,,,,,,,,,,,,,,,,,,,
Miguel Lopez,"Lopez,Miguel",100,,,,,,"General Escobedo, MX",2008-2024,2008,2024,,,,,,,,,,,,,,,,,,,
Kai Xiao,"Xiao,Kai",99,,,,,,"University Place, US",2009-2024,2009,2024,,,,,,,,,,,,,,,,,,,
Long Pan,"Pan,Long",99,,,,,,"Somerville, US",2011-2024,2011,2024,,,,,,,,,,,,,,,,,,,
William James Premerlani,"Premerlani,William James",99,,,,,,"Scotia, US",1981-2021,1981,2021,,,,,,,,,,,,,,,,,,,
Barnes Cooper,"Cooper,Barnes",98,,,,,,"Hillsboro, US",1998-2024,1998,2024,,,,,,,,,,,,,,,,,,,
John David Lamb,"Lamb,John David",98,,,,,,"Pewsey, GB",1996-2020,1996,2020,,,,,,,,,,,,,,,,,,,
Andrew Jon Ross,"Ross,Andrew Jon",97,,,,,,"Lisbon, US",1989-2023,1989,2023,,,,,,,,,,,,,,,,,,,
Christopher Murphy,"Murphy,Christopher",97,,,,,,"Davis, US",1976-2024,1976,2024,,,,,,,,,,,,,,,,,,,
Kemal Aygun,"Aygun,Kemal",96,,,,,,"Chandler, US",2008-2024,2008,2024,,,,,,,,,,,,,,,,,,,
William Michael Scheper,"Scheper,William Michael",96,,,,,,"Lawrenceburg, US",1997-2015,1997,2015,,,,,,,,,,,,,,,,,,,
Enrique Antonio Reyes,"Reyes,Enrique Antonio",95,,,,,,"Tomball, US",2012-2024,2012,2024,,,,,,,,,,,,,,,,,,,
Feng Xue,"Xue,Feng",94,,,,,,"Menomonee Falls, US",2004-2024,2004,2024,,,,,,,,,,,,,,,,,,,
Kathiravetpillai Sivanesan,"Sivanesan,Kathiravetpillai",94,,,,,,"Portland, US",2009-2024,2009,2024,,,,,,,,,,,,,,,,,,,
Neil Sondhi,"Sondhi,Neil",94,,,,,,"Pilisborosjen?, HU",2015-2021,2015,2021,,,,,,,,,,,,,,,,,,,
Christopher Brown,"Brown,Christopher",93,,,,,,"Felton, GB",1984-2022,1984,2022,,,,,,,,,,,,,,,,,,,
Michael Meyer,"Meyer,Michael",93,,,,,,"Schwaikheim, DE",1989-2023,1989,2023,,,,,,,,,,,,,,,,,,,
Richard L Brendel,"Brendel,Richard L",93,,,,,,"Carson City, US",1985-2023,1985,2023,,,,,,,,,,,,,,,,,,,
David B Fischer,"Fischer,David B",92,,,,,,"Robins, US",2004-2024,2004,2024,,,,,,,,,,,,,,,,,,,
David D McSherry,"McSherry,David D",92,,,,,,"Minneapolis, US",1992-2024,1992,2024,,,,,,,,,,,,,,,,,,,
David Turner,"Turner,David",92,,,,,,"Imperial, US",1985-2022,1985,2022,,,,,,,,,,,,,,,,,,,
Suhwan Kim,"Kim,Suhwan",92,,,,,,"Hillsboro, US",2000-2024,2000,2024,,,,,,,,,,,,,,,,,,,
John C C Fan,"Fan,John C C",91,,,,,,"Shanghai, CN",1977-2020,1977,2020,,,,,,,,,,,,,,,,,,,
Paul Alexander Torrie,"Torrie,Paul Alexander",91,,,,,,"Marblehead, US",1988-2023,1988,2023,,,,,,,,,,,,,,,,,,,
Ran Berliner,"Berliner,Ran",91,,,,,,"Yavne, IL",2017-2024,2017,2024,,,,,,,,,,,,,,,,,,,
Thomas Marcouiller,"Marcouiller,Thomas",91,,,,,,"Shakopee, US",2010-2024,2010,2024,,,,,,,,,,,,,,,,,,,
Zhibing Deng,"Deng,Zhibing",91,,,,,,"Northville, US",2007-2024,2007,2024,,,,,,,,,,,,,,,,,,,
Aleksander Magi,"Magi,Aleksander",90,,,,,,"Portland, US",2015-2024,2015,2024,,,,,,,,,,,,,,,,,,,
Ravindra Shankar Ganiger,"Ganiger,Ravindra Shankar",90,,,,,,"Bengaluru, IN",2016-2024,2016,2024,,,,,,,,,,,,,,,,,,,
Satoshi Uchida,"Uchida,Satoshi",90,,,,,,"Kisarazu, JP",1987-2024,1987,2024,,,,,,,,,,,,,,,,,,,
Andrew Edmunds,"Edmunds,Andrew",89,,,,,,"Therwil, CH",1993-2022,1993,2022,,,,,,,,,,,,,,,,,,,
Cesar Augusto Rodriguez Bravo,"Rodriguez Bravo,Cesar Augusto",89,,,,,,"Alajuela, CR",2018-2024,2018,2024,,,,,,,,,,,,,,,,,,,
Steven Sebastian Burdgick,"Burdgick,Steven Sebastian",89,,,,,,"Schenectady, US",1997-2023,1997,2023,,,,,,,,,,,,,,,,,,,
Navjot Singh,"Singh,Navjot",88,,,,,,"Seattle, US",2001-2023,2001,2023,,,,,,,,,,,,,,,,,,,
Rahul Khanna,"Khanna,Rahul",88,,,,,,"Portland, US",2003-2024,2003,2024,,,,,,,,,,,,,,,,,,,
William J Lewis,"Lewis,William J",88,,,,,,"North Plains, US",1978-2023,1978,2023,,,,,,,,,,,,,,,,,,,
Giuseppe Raffa,"Raffa,Giuseppe",87,,,,,,"Portland, US",2013-2024,2013,2024,,,,,,,,,,,,,,,,,,,
James A Simmons,"Simmons,James A",87,,,,,,"Tampa, US",1978-2023,1978,2023,,,,,,,,,,,,,,,,,,,
Terry L Cooke,"Cooke,Terry L",87,,,,,,"Hickory, US",1994-2023,1994,2023,,,,,,,,,,,,,,,,,,,
Bernard William Kluesener,"Kluesener,Bernard William",86,,,,,,"Cadiz, US",1992-2023,1992,2023,,,,,,,,,,,,,,,,,,,
Michael Levitsky,"Levitsky,Michael",86,,,,,,"Rehovot, IL",2012-2024,2012,2024,,,,,,,,,,,,,,,,,,,
Tara Astigarraga,"Astigarraga,Tara",86,,,,,,"Fairport, US",2008-2023,2008,2023,,,,,,,,,,,,,,,,,,,
Thomas Theuerkorn,"Theuerkorn,Thomas",86,,,,,,"Hickory, US",1998-2023,1998,2023,,,,,,,,,,,,,,,,,,,
Wesley R Schalk,"Schalk,Wesley R",86,,,,,,"Vancouver, US",2004-2024,2004,2024,,,,,,,,,,,,,,,,,,,
William J Gordon Kamm,"Gordon Kamm,William J",86,,,,,,"Urbandale, US",1996-2022,1996,2022,,,,,,,,,,,,,,,,,,,
Jinho Hwang,"Hwang,Jinho",85,,,,,,"Ossining, US",2016-2024,2016,2024,,,,,,,,,,,,,,,,,,,
Jun Young Park,"Park,Jun Young",85,,,,,,"Three Rivers, US",2010-2024,2010,2024,,,,,,,,,,,,,,,,,,,
Nicholas W Paterson,"Paterson,Nicholas W",85,,,,,,"Rio Del Mar, US",2007-2023,2007,2023,,,,,,,,,,,,,,,,,,,
Ying Hu,"Hu,Ying",85,,,,,,"Nashua, US",2002-2023,2002,2023,,,,,,,,,,,,,,,,,,,
Ashley Bernard Johnson,"Johnson,Ashley Bernard",84,,,,,,"Westfield, GB",1999-2023,1999,2023,,,,,,,,,,,,,,,,,,,
Nicholas Abbott,"Abbott,Nicholas",84,,,,,,"Madison, US",1998-2023,1998,2023,,,,,,,,,,,,,,,,,,,
Robert Peter Hodgkins,"Hodgkins,Robert Peter",84,,,,,,"Colima, MX",2016-2024,2016,2024,,,,,,,,,,,,,,,,,,,
Romelia H Flores,"Flores,Romelia H",84,,,,,,"Keller, US",2006-2024,2006,2024,,,,,,,,,,,,,,,,,,,
Yair Alster,"Alster,Yair",84,,,,,,"Palo Alto, US",2003-2024,2003,2024,,,,,,,,,,,,,,,,,,,
Yang Shen,"Shen,Yang",84,,,,,,"Shanghai, CN",1991-2024,1991,2024,,,,,,,,,,,,,,,,,,,
Daniel H Gomez,"Gomez,Daniel H",83,,,,,,"Saltillo, MX",1980-2023,1980,2023,,,,,,,,,,,,,,,,,,,
Hai Ying Chen,"Chen,Hai Ying",83,,,,,,"Wayne, US",2011-2024,2011,2024,,,,,,,,,,,,,,,,,,,
Johan GEENS,"GEENS,Johan",82,,,,,,"Bunsbeek, BE",2014-2024,2014,2024,,,,,,,,,,,,,,,,,,,
John R Morello,"Morello,John R",82,,,,,,"Lebanon, US",1993-2023,1993,2023,,,,,,,,,,,,,,,,,,,
Mark David Hoffbeck,"Hoffbeck,Mark David",82,,,,,,"Macomb, US",1996-2024,1996,2024,,,,,,,,,,,,,,,,,,,
Chih Yu Lin,"Lin,Chih Yu",81,,,,,,"Canton, US",2008-2024,2008,2024,,,,,,,,,,,,,,,,,,,
Christian Wamprecht,"Wamprecht,Christian",81,,,,,,"Neuss, DE",1989-2022,1989,2022,,,,,,,,,,,,,,,,,,,
Oscar Fernando Bran de Leon,"Bran de Leon,Oscar Fernando",81,,,,,,"Belle Plaine, US",2007-2024,2007,2024,,,,,,,,,,,,,,,,,,,
Naoki Maruyama,"Maruyama,Naoki",80,,,,,,"Kimitsu, JP",2001-2024,2001,2024,,,,,,,,,,,,,,,,,,,
Philippe Coenegracht,"Coenegracht,Philippe",80,,,,,,"Hasselt, BE",2016-2024,2016,2024,,,,,,,,,,,,,,,,,,,
Shakti Kapoor,"Kapoor,Shakti",80,,,,,,"Austin, US",2002-2023,2002,2023,,,,,,,,,,,,,,,,,,,
Sung Jae Kim,"Kim,Sung Jae",80,,,,,,"Xico, MX",1999-2023,1999,2023,,,,,,,,,,,,,,,,,,,
Benjamin Peter Jeffryes,"Jeffryes,Benjamin Peter",79,,,,,,"Histon, GB",1995-2024,1995,2024,,,,,,,,,,,,,,,,,,,
Hajime Kawano,"Kawano,Hajime",79,,,,,,"Tokyo, JP",1992-2023,1992,2023,,,,,,,,,,,,,,,,,,,
Hong W Wong,"Wong,Hong W",79,,,,,,"Portland, US",2003-2023,2003,2023,,,,,,,,,,,,,,,,,,,
Deepak Patel,"Patel,Deepak",78,,,,,,"Canton, US",2007-2024,2007,2024,,,,,,,,,,,,,,,,,,,
James A McCall,"McCall,James A",78,,,,,,"Portland, US",2002-2023,2002,2023,,,,,,,,,,,,,,,,,,,
Sundeep Dugar,"Dugar,Sundeep",78,,,,,,"San Jose, US",1992-2023,1992,2023,,,,,,,,,,,,,,,,,,,
Torgny Brogardh,"Brogardh,Torgny",78,,,,,,"Västerås, SE",1981-2024,1981,2024,,,,,,,,,,,,,,,,,,,
Walter Pitsch,"Pitsch,Walter",78,,,,,,"Washington, US",1999-2023,1999,2023,,,,,,,,,,,,,,,,,,,
