Inventor,NOMBRE_INVENTOR,Patents,Cites,Asignee Inst,Número de coinventores,Co inventoras mujeres,Coinventores extranjeros,Location,years active,año de inicio,última patente,Inicio de patentamiento-obtención de cédula,Género,Grado académico LICENCIATURA,Institución que otorgó el grado LICENCIATURA,INSTITUCIÓN Pública= 1; Privada= 0,# cédula profesional LICENCIATURA,Año de expedición de cedula profesional  LICENCIATURA,Grado académico MAESTRÍA,Institución que otorgó el grado MAESTRÍA,# cédula profesional MAESTRÍA,Año de expedición de cedula profesional  MAESTRÍA,Grado académico DOCTORADO,Institución que otorgó el grado DOCTORADO,# cédula profesional DOCTORADO,Año de expedición de cedula profesional  DOCTORADO,Posgrado SI= 1 NO= 0,Empleo actual,Puesto,Nacionalidad
Sorin Manolache,"Manolache,Sorin",14,,,,,,"Madison, US",2002-2011,2002,2011,,,,,,,,,,,,,,,,,,,
Jose Guadalupe Cid Aguilar,"Cid Aguilar,Jose Guadalupe",11,,,,,,"Monterrey, MX",2000-2022,2000,2022,,,,,,,,,,,,,,,,,,,
Miguel Angel Kiyama Rodriguez,"Kiyama Rodriguez,Miguel Angel",4,,,,,,"Monterrey, MX",2011-2015,2011,2015,,,,,,,,,,,,,,,,,,,
Adrian G Cornejo,"Cornejo,Adrian G",1,,,,,,"Mexico City, MX",2011-2011,2011,2011,,,,,,,,,,,,,,,,,,,
Jesus Leyva Ramos,"Ramos,Jesus Leyva",2,,,,,,"San Luis Potosí, MX",2010-2011,2010,2011,,,,,,,,,,,,,,,,,,,
Gerardo Escobar,"Escobar,Gerardo",12,,,,,,"San Luis Potosí, MX",2005-2016,2005,2016,,,,,,,,,,,,,,,,,,,
Roberto Cruz,"Cruz,Roberto",3,,,,,,"Mexico City, MX",2003-2017,2003,2017,,,,,,,,,,,,,,,,,,,
Luis Miguel Del Pozo Gonzalez,"Del Pozo Gonzalez,Luis Miguel",5,,,,,,"Puebla, MX",2011-2021,2011,2021,,,,,,,,,,,,,,,,,,,
Richard J Lange,"Lange,Richard J",30,,,,,,"Troy, US",2004-2020,2004,2020,,,,,,,,,,,,,,,,,,,
Jose Carlos Murillo Marquez,"Murillo Marquez,Jose Carlos",1,,,,,,"Toluca, MX",2011-2011,2011,2011,,,,,,,,,,,,,,,,,,,
Gerardo Rodriguez Garay,"Garay,Gerardo Rodriguez",6,,,,,,"Juarez, MX",2010-2014,2010,2014,,,,,,,,,,,,,,,,,,,
Eric Thompson,"Thompson,Eric",28,,,,,,"Central, US",2005-2021,2005,2021,,,,,,,,,,,,,,,,,,,
Arturo A Ortiz Rivas,"Rivas,Arturo A Ortiz",3,,,,,,"Monterrey, MX",1994-2011,1994,2011,,,,,,,,,,,,,,,,,,,
Boris Rubinsky,"Rubinsky,Boris",57,,,,,,"Albany, US",1985-2024,1985,2024,,,,,,,,,,,,,,,,,,,
Cesar A Gonzalez,"Gonzalez,Cesar A",8,,,,,,"Gustavo Díaz Ordaz, MX",1997-2014,1997,2014,,,,,,,,,,,,,,,,,,,
Nobuto Yasui,"Yasui,Nobuto",7,,,,,,"Yokohama, JP",2007-2015,2007,2015,,,,,,,,,,,,,,,,,,,
Eduardo Torres Mireles,"Mireles,Eduardo Torres",3,,,,,,"Guadalajara, MX",2011-2018,2011,2018,,,,,,,,,,,,,,,,,,,
Charanjit S Bhatia,"Bhatia,Charanjit S",2,,,,,,"San Jose, US",2011-2011,2011,2011,,,,,,,,,,,,,,,,,,,
Jila Tabib,"Tabib,Jila",12,,,,,,"Los Gatos, US",1999-2012,1999,2012,,,,,,,,,,,,,,,,,,,
Eric W Flint,"Flint,Eric W",9,,,,,,"San Jose, US",2004-2014,2004,2014,,,,,,,,,,,,,,,,,,,
Cherngye Hwang,"Hwang,Cherngye",101,,,,,,"San Jose, US",1990-2024,1990,2024,,,,,,,,,,,,,,,,,,,
Yongjian Sun,"Sun,Yongjian",18,,,,,,"San Jose, US",2007-2019,2007,2019,,,,,,,,,,,,,,,,,,,
Esteban Arturo Alvarez Serrano,"Alvarez Serrano,Esteban Arturo",2,,,,,,"Pórticos de San Antonio, MX",2011-2012,2011,2012,,,,,,,,,,,,,,,,,,,
Horman Armando Millan Sanchez,"Millan Sanchez,Horman Armando",1,,,,,,"Tijuana, MX",2011-2011,2011,2011,,,,,,,,,,,,,,,,,,,
Julian Martinez Fonseca,"Fonseca,Julian Martinez",2,,,,,,"El Refugio, MX",2009-2011,2009,2011,,,,,,,,,,,,,,,,,,,
Heriberto Corrales Castaneda,"Castaneda,Heriberto Corrales",4,,,,,,"Zapopan, MX",2011-2015,2011,2015,,,,,,,,,,,,,,,,,,,
Steve Marzi,"Marzi,Steve",2,,,,,,"Burton, US",2009-2011,2009,2011,,,,,,,,,,,,,,,,,,,
Juan Espinosa,"Espinosa,Juan",2,,,,,,"El Control, MX",2009-2011,2009,2011,,,,,,,,,,,,,,,,,,,
Carlos Camarillo,"Camarillo,Carlos",2,,,,,,"El Control, MX",2009-2011,2009,2011,,,,,,,,,,,,,,,,,,,
Richard Jodts,"Jodts,Richard",3,,,,,,"Clinton Township, US",1982-2011,1982,2011,,,,,,,,,,,,,,,,,,,
Marco Amaya,"Amaya,Marco",2,,,,,,"El Control, MX",2009-2011,2009,2011,,,,,,,,,,,,,,,,,,,
Thomas Wayne Messner,"Messner,Thomas Wayne",10,,,,,,"Grand Blanc, US",2009-2016,2009,2016,,,,,,,,,,,,,,,,,,,
Paul N Smith,"Smith,Paul N",54,,,,,,"Davison, US",2005-2024,2005,2024,,,,,,,,,,,,,,,,,,,
Stan Chudzik,"Chudzik,Stan",33,,,,,,"Alpharetta, US",2003-2015,2003,2015,,,,,,,,,,,,,,,,,,,
Christin Hartsfield,"Hartsfield,Christin",1,,,,,,"Atlanta, US",2011-2011,2011,2011,,,,,,,,,,,,,,,,,,,
Tylor Garland,"Garland,Tylor",47,,,,,,"West Hollywood, US",1995-2024,1995,2024,,,,,,,,,,,,,,,,,,,
Patrick Burgess,"Burgess,Patrick",15,,,,,,"Zapopan, MX",2007-2011,2007,2011,,,,,,,,,,,,,,,,,,,
Aldis Rauda,"Rauda,Aldis",27,,,,,,"West Hollywood, US",2006-2021,2006,2021,,,,,,,,,,,,,,,,,,,
Andre V Scaff,"Scaff,Andre V",4,,,,,,"Chihuahua, MX",2011-2016,2011,2016,,,,,,,,,,,,,,,,,,,
Albert Anthony Skinner,"Skinner,Albert Anthony",52,,,,,,"El Paso, US",1988-2019,1988,2019,,,,,,,,,,,,,,,,,,,
Mark Albert Paul,"Paul,Mark Albert",16,,,,,,"El Paso, US",1997-2013,1997,2013,,,,,,,,,,,,,,,,,,,
Enrique Franco,"Franco,Enrique",1,,,,,,"Villa de Cos, MX",2011-2011,2011,2011,,,,,,,,,,,,,,,,,,,
Heriberto Corrales Castaneda,"Castaneda,Heriberto Corrales",4,,,,,,"Zapopan, MX",2011-2015,2011,2015,,,,,,,,,,,,,,,,,,,
Gerard Charlier,"Charlier,Gerard",7,,,,,,"Beaune, FR",2001-2011,2001,2011,,,,,,,,,,,,,,,,,,,
David Pozgay,"Pozgay,David",34,,,,,,"Evanston, US",2003-2023,2003,2023,,,,,,,,,,,,,,,,,,,
Erick Higashi,"Higashi,Erick",4,,,,,,"Mexicali, MX",2011-2013,2011,2013,,,,,,,,,,,,,,,,,,,
Erick A Rodriguez,"Rodriguez,Erick A",11,,,,,,"Chihuahua, MX",2010-2021,2010,2021,,,,,,,,,,,,,,,,,,,
Alvaro Gino De La Reza,"De La Reza,Alvaro Gino",4,,,,,,"El Paso, US",2011-2017,2011,2017,,,,,,,,,,,,,,,,,,,
Mark Smith,"Smith,Mark",12,,,,,,"El Paso, US",1993-2018,1993,2018,,,,,,,,,,,,,,,,,,,
Ceferino Garcia,"Garcia,Ceferino",4,,,,,,"Chihuahua, MX",2008-2011,2008,2011,,,,,,,,,,,,,,,,,,,
Markus Ziegler,"Ziegler,Markus",17,,,,,,"General Escobedo, MX",2005-2022,2005,2022,,,,,,,,,,,,,,,,,,,
Patricio Gerardo Trevino Ramirez,"Ramirez,Patricio Gerardo Trevino",2,,,,,,"San Pedro Garza García, MX",2009-2011,2009,2011,,,,,,,,,,,,,,,,,,,
Eduardo Ruiz Esparza Flores,"Flores,Eduardo Ruiz Esparza",4,,,,,,"San Pedro Garza García, MX",2009-2011,2009,2011,,,,,,,,,,,,,,,,,,,
Jose Adalberto Teran Matus,"Matus,Jose Adalberto Teran",5,,,,,,"San Pedro Garza García, MX",2009-2014,2009,2014,,,,,,,,,,,,,,,,,,,
Rafael Guillemo Ramos Elizondo,"Elizondo,Rafael Guillemo Ramos",1,,,,,,"Monterrey, MX",2011-2011,2011,2011,,,,,,,,,,,,,,,,,,,
Douglas William Martin,"Martin,Douglas William",2,,,,,,"La Habra, US",1989-2011,1989,2011,,,,,,,,,,,,,,,,,,,
Jose Elias Pinto Munoz,"Munoz,Jose Elias Pinto",1,,,,,,"La Y Griega, MX",2011-2011,2011,2011,,,,,,,,,,,,,,,,,,,
Anahit Tataryan,"Tataryan,Anahit",21,,,,,,"Temple City, US",1992-2023,1992,2023,,,,,,,,,,,,,,,,,,,
Jerry G Hodsdon,"Hodsdon,Jerry G",39,,,,,,"Forestdale, US",2000-2021,2000,2021,,,,,,,,,,,,,,,,,,,
Jesus Angel Urbina Moriel,"Urbina Moriel,Jesus Angel",1,,,,,,"La Y Griega, MX",2011-2011,2011,2011,,,,,,,,,,,,,,,,,,,
Elizabeth Marie Sanchez,"Sanchez,Elizabeth Marie",1,,,,,,"Glendale, US",2011-2011,2011,2011,,,,,,,,,,,,,,,,,,,
Le Hoa Hong,"Hong,Le Hoa",29,,,,,,"Monterey Park, US",2001-2023,2001,2023,,,,,,,,,,,,,,,,,,,
Arthur G Castillo,"Castillo,Arthur G",9,,,,,,"Chino Hills, US",2003-2011,2003,2011,,,,,,,,,,,,,,,,,,,
Ronald Ugolick,"Ugolick,Ronald",29,,,,,,"San Dimas, US",1997-2023,1997,2023,,,,,,,,,,,,,,,,,,,
Carlos Lobato Ramon,"Ramon,Carlos Lobato",1,,,,,,"La Y Griega, MX",2011-2011,2011,2011,,,,,,,,,,,,,,,,,,,
Arthur Coello,"Coello,Arthur",4,,,,,,"Miami, US",2007-2013,2007,2013,,,,,,,,,,,,,,,,,,,
Carlos Vega Velazquez,"Velazquez,Carlos Vega",4,,,,,,"Puebla, MX",2007-2013,2007,2013,,,,,,,,,,,,,,,,,,,
Michel Klein,"Klein,Michel",1,,,,,,"Zaandijk, NL",2011-2011,2011,2011,,,,,,,,,,,,,,,,,,,
Gary Schoolnik,"Schoolnik,Gary",15,,,,,,"Palo Alto, US",1986-2023,1986,2023,,,,,,,,,,,,,,,,,,,
David Hone,"Hone,David",26,,,,,,"Poolesville, US",1999-2013,1999,2013,,,,,,,,,,,,,,,,,,,
Jerald C Sadoff,"Sadoff,Jerald C",34,,,,,,"Washington, US",1981-2022,1981,2022,,,,,,,,,,,,,,,,,,,
Mario Alberto Flores Valdez,"Flores Valdez,Mario Alberto",1,,,,,,"Jalisco, MX",2011-2011,2011,2011,,,,,,,,,,,,,,,,,,,
Adriana Quintanar Guzman,"Quintanar Guzman,Adriana",2,,,,,,"Columbia, US",2007-2011,2007,2011,,,,,,,,,,,,,,,,,,,
Carmela Rivero Jimenez,"Rivero Jimenez,Carmela",3,,,,,,"Guadalupe, MX",2006-2011,2006,2011,,,,,,,,,,,,,,,,,,,
Ivonne Arellano Mendoza,"Arellano Mendoza,Ivonne",1,,,,,,"Mexico City, MX",2011-2011,2011,2011,,,,,,,,,,,,,,,,,,,
Ivonne Arellano Mendoza,"Mendoza,Ivonne Arellano",1,,,,,,"Villa de Cos, MX",2011-2011,2011,2011,,,,,,,,,,,,,,,,,,,
Sergio Garcia de Alba Garcin,"Garcia de Alba Garcin,Sergio",4,,,,,,"Guadalajara, MX",2011-2016,2011,2016,,,,,,,,,,,,,,,,,,,
Heriberto Corrales Castaneda,"Castaneda,Heriberto Corrales",4,,,,,,"Zapopan, MX",2011-2015,2011,2015,,,,,,,,,,,,,,,,,,,
Gerard Charlier,"Charlier,Gerard",7,,,,,,"Beaune, FR",2001-2011,2001,2011,,,,,,,,,,,,,,,,,,,
Gerardo Hernandez Gonzalez,"Gonzalez,Gerardo Hernandez",3,,,,,,"San Nicolás de los Garza, MX",2010-2011,2010,2011,,,,,,,,,,,,,,,,,,,
Louis M Schlesinger,"Schlesinger,Louis M",7,,,,,,"Spruce Pine, US",2010-2016,2010,2016,,,,,,,,,,,,,,,,,,,
Artemio Gonzalez Acevedo,"Acevedo,Artemio Gonzalez",3,,,,,,"San Nicolás de los Garza, MX",2010-2011,2010,2011,,,,,,,,,,,,,,,,,,,
Mauricio Duran Sanchez,"Sanchez,Mauricio Duran",5,,,,,,"Monterrey, MX",2010-2022,2010,2022,,,,,,,,,,,,,,,,,,,
Remi Pampin,"Pampin,Remi",1,,,,,,"Antony, FR",2011-2011,2011,2011,,,,,,,,,,,,,,,,,,,
Pierre Emmannuel Lobert,"Lobert,Pierre Emmannuel",1,,,,,,"Somain, FR",2011-2011,2011,2011,,,,,,,,,,,,,,,,,,,
Denis Flandre,"Flandre,Denis",7,,,,,,"Brussels, BE",2004-2021,2004,2021,,,,,,,,,,,,,,,,,,,
Jose Remacle,"Remacle,Jose",20,,,,,,"Malonne, BE",1990-2013,1990,2013,,,,,,,,,,,,,,,,,,,
David Bourgeois,"Bourgeois,David",3,,,,,,"Papignies, BE",1990-2011,1990,2011,,,,,,,,,,,,,,,,,,,
Luis Moreno Hagelsieb,"Hagelsieb,Luis Moreno",2,,,,,,"Zapopan, MX",2001-2011,2001,2011,,,,,,,,,,,,,,,,,,,
Tory A Klavuhn,"Klavuhn,Tory A",39,,,,,,"Newton, US",2006-2023,2006,2023,,,,,,,,,,,,,,,,,,,
Jose Arturo Urdiales Gonzalez,"Urdiales Gonzalez,Jose Arturo",1,,,,,,"Reynosa, MX",2011-2011,2011,2011,,,,,,,,,,,,,,,,,,,
Harley J Staber,"Staber,Harley J",32,,,,,,"Coppell, US",1990-2023,1990,2023,,,,,,,,,,,,,,,,,,,
"David L Dean, Jr","Dean, Jr,David L",107,,,,,,"Hickory, US",1988-2023,1988,2023,,,,,,,,,,,,,,,,,,,
Manuel Alejandro Lopez Sanchez,"Lopez Sanchez,Manuel Alejandro",13,,,,,,"Reynosa, MX",2008-2023,2008,2023,,,,,,,,,,,,,,,,,,,
Terry L Cooke,"Cooke,Terry L",87,,,,,,"Hickory, US",1994-2023,1994,2023,,,,,,,,,,,,,,,,,,,
Arturo Maceda,"Maceda,Arturo",5,,,,,,"Mexicali, MX",2011-2021,2011,2021,,,,,,,,,,,,,,,,,,,
David W Burke,"Burke,David W",61,,,,,,"Oro Valley, US",1982-2019,1982,2019,,,,,,,,,,,,,,,,,,,
Balwinder S Birdi,"Birdi,Balwinder S",14,,,,,,"Tucson, US",2008-2023,2008,2023,,,,,,,,,,,,,,,,,,,
Federico Villalobos,"Villalobos,Federico",4,,,,,,"Chihuahua, MX",2008-2012,2008,2012,,,,,,,,,,,,,,,,,,,
Sergio R Molinar,"Molinar,Sergio R",8,,,,,,"Chihuahua, MX",2008-2024,2008,2024,,,,,,,,,,,,,,,,,,,
Dennis Hansen,"Hansen,Dennis",6,,,,,,"Freeland, US",1999-2011,1999,2011,,,,,,,,,,,,,,,,,,,
Keith A Kozlowski,"Kozlowski,Keith A",19,,,,,,"El Paso, US",1997-2019,1997,2019,,,,,,,,,,,,,,,,,,,
Jerry L Eaton,"Eaton,Jerry L",2,,,,,,"Hemlock, US",2008-2011,2008,2011,,,,,,,,,,,,,,,,,,,
Francois Vardon,"Vardon,Francois",25,,,,,,"Querétaro, MX",2005-2014,2005,2014,,,,,,,,,,,,,,,,,,,
Irene Cruz Leyva,"Leyva,Irene Cruz",3,,,,,,"Xico, MX",2007-2011,2007,2011,,,,,,,,,,,,,,,,,,,
Elizabeth Quintana Romero,"Romero,Elizabeth Quintana",3,,,,,,"Tlalnepantla, MX",2007-2011,2007,2011,,,,,,,,,,,,,,,,,,,
Joaquin Fernandez Baumeister,"Baumeister,Joaquin Fernandez",4,,,,,,"Xico, MX",2007-2012,2007,2012,,,,,,,,,,,,,,,,,,,
Armando Sedano Hernandez,"Hernandez,Armando Sedano",3,,,,,,"Ecatepec, MX",2007-2011,2007,2011,,,,,,,,,,,,,,,,,,,
Mauricio Diaz,"Diaz,Mauricio",8,,,,,,"Apodaca, MX",2006-2016,2006,2016,,,,,,,,,,,,,,,,,,,
Luis Islas,"Islas,Luis",2,,,,,,"Apodaca, MX",2011-2016,2011,2016,,,,,,,,,,,,,,,,,,,
Blas Gutierrez,"Gutierrez,Blas",1,,,,,,"San Luis Potosí, MX",2011-2011,2011,2011,,,,,,,,,,,,,,,,,,,
Felipe Trejo,"Trejo,Felipe",1,,,,,,"San Luis Potosí, MX",2011-2011,2011,2011,,,,,,,,,,,,,,,,,,,
Victor Manuel Minero,"Minero,Victor Manuel",1,,,,,,"San Luis Potosí, MX",2011-2011,2011,2011,,,,,,,,,,,,,,,,,,,
Eduardo Hernandez,"Hernandez,Eduardo",3,,,,,,"San Luis Potosí, MX",2011-2022,2011,2022,,,,,,,,,,,,,,,,,,,
Scott Brainard,"Brainard,Scott",21,,,,,,"Angels Camp, US",2010-2021,2010,2021,,,,,,,,,,,,,,,,,,,
Haythem Hussein,"Hussein,Haythem",1,,,,,,"Orchard Park, US",2011-2011,2011,2011,,,,,,,,,,,,,,,,,,,
Jose Luis Lorente Adame,"Lorente Adame,Jose Luis",3,,,,,,"Tijuana, MX",2011-2015,2011,2015,,,,,,,,,,,,,,,,,,,
Buehl E Truex,"Truex,Buehl E",30,,,,,,"Glendora, US",1990-2015,1990,2015,,,,,,,,,,,,,,,,,,,
Richard L Brendel,"Brendel,Richard L",93,,,,,,"Carson City, US",1985-2023,1985,2023,,,,,,,,,,,,,,,,,,,
Robert A Stevenson,"Stevenson,Robert A",239,,,,,,"Santa Clarita, US",1976-2024,1976,2024,,,,,,,,,,,,,,,,,,,
Christopher Michael Williams,"Williams,Christopher Michael",22,,,,,,"Lancaster, US",2011-2018,2011,2018,,,,,,,,,,,,,,,,,,,
Robert Shawn Johnson,"Johnson,Robert Shawn",41,,,,,,"North Tonawanda, US",2011-2019,2011,2019,,,,,,,,,,,,,,,,,,,
Warren S Dabney,"Dabney,Warren S",76,,,,,,"Orchard Park, US",2008-2023,2008,2023,,,,,,,,,,,,,,,,,,,
Christine A Frysz,"Frysz,Christine A",221,,,,,,"Orchard Park, US",1992-2024,1992,2024,,,,,,,,,,,,,,,,,,,
Joaquin Alverde Trejo,"Trejo,Joaquin Alverde",6,,,,,,"Metepec, MX",2009-2012,2009,2012,,,,,,,,,,,,,,,,,,,
Emilio Robledo,"Robledo,Emilio",3,,,,,,"Tijuana, MX",2011-2016,2011,2016,,,,,,,,,,,,,,,,,,,
Daniel James Doll,"Doll,Daniel James",6,,,,,,"Poway, US",2011-2024,2011,2024,,,,,,,,,,,,,,,,,,,
Antonio Acuna,"Acuna,Antonio",2,,,,,,"Tijuana, MX",2011-2014,2011,2014,,,,,,,,,,,,,,,,,,,
Jason Michael Robertson,"Robertson,Jason Michael",4,,,,,,"San Diego, US",2011-2014,2011,2014,,,,,,,,,,,,,,,,,,,
Manuel Sanchez Cantu,"Sanchez Cantu,Manuel",2,,,,,,"Mexico City, MX",2011-2012,2011,2012,,,,,,,,,,,,,,,,,,,
Jaime SANCHEZ VALENTE,"SANCHEZ VALENTE,Jaime",9,,,,,,"Col. Lindavista, MX",2011-2021,2011,2021,,,,,,,,,,,,,,,,,,,
Esteban Lopez Salinas,"Lopez Salinas,Esteban",11,,,,,,"Mexico City, MX",2008-2021,2008,2021,,,,,,,,,,,,,,,,,,,
Francisco Javier Hernandez Beltran,"Hernandez Beltran,Francisco Javier",5,,,,,,"Tecamachalco, MX",2011-2019,2011,2019,,,,,,,,,,,,,,,,,,,
Raul Campogarrido,"Campogarrido,Raul",3,,,,,,"Jalisco, MX",2009-2011,2009,2011,,,,,,,,,,,,,,,,,,,
Vaithianathan Sivanandan,"Sivanandan,Vaithianathan",3,,,,,,"Austin, US",2009-2011,2009,2011,,,,,,,,,,,,,,,,,,,
Carlos Gonzalez Hernandez,"Gonzalez Hernandez,Carlos",3,,,,,,"Jalisco, MX",2009-2011,2009,2011,,,,,,,,,,,,,,,,,,,
Maria Elena Vazquez,"Vazquez,Maria Elena",3,,,,,,"Guadalajara, MX",2009-2011,2009,2011,,,,,,,,,,,,,,,,,,,
Carl H Vonnegut,"Vonnegut,Carl H",8,,,,,,"Newton, US",2002-2023,2002,2023,,,,,,,,,,,,,,,,,,,
Neal Pugh,"Pugh,Neal",6,,,,,,"Taunton, US",2000-2011,2000,2011,,,,,,,,,,,,,,,,,,,
Oscar Lopez,"Lopez,Oscar",9,,,,,,"Izamal, MX",2004-2023,2004,2023,,,,,,,,,,,,,,,,,,,
Aleksey Rybalnik,"Rybalnik,Aleksey",1,,,,,,"Framingham, US",2011-2011,2011,2011,,,,,,,,,,,,,,,,,,,
Todd M Meaney,"Meaney,Todd M",10,,,,,,"San Luis Obispo, US",2008-2022,2008,2022,,,,,,,,,,,,,,,,,,,
Per I Karlsson,"Karlsson,Per I",2,,,,,,"El Paso, US",2003-2011,2003,2011,,,,,,,,,,,,,,,,,,,
Jorge Ancheyta Juarez,"Ancheyta Juarez,Jorge",13,,,,,,"Cuilápam, MX",2010-2020,2010,2020,,,,,,,,,,,,,,,,,,,
Fernando Alonso Martinez,"Alonso Martinez,Fernando",4,,,,,,"Cuilápam, MX",2011-2018,2011,2018,,,,,,,,,,,,,,,,,,,
Mohan Singh Rana,"Rana,Mohan Singh",7,,,,,,"Cuilápam, MX",2011-2022,2011,2022,,,,,,,,,,,,,,,,,,,
Jorge Fernando Ramirez Solis,"Ramirez Solis,Jorge Fernando",4,,,,,,"Cuilápam, MX",2011-2021,2011,2021,,,,,,,,,,,,,,,,,,,
Patricia Rayo Mayoral,"Rayo Mayoral,Patricia",5,,,,,,"Cuilápam, MX",2011-2018,2011,2018,,,,,,,,,,,,,,,,,,,
Samir Kumar Maity,"Maity,Samir Kumar",4,,,,,,"Cuilápam, MX",2011-2020,2011,2020,,,,,,,,,,,,,,,,,,,
Michel Delattre,"Delattre,Michel",17,,,,,,"Armentières, FR",2002-2019,2002,2019,,,,,,,,,,,,,,,,,,,
Enrique Martinez,"Martinez,Enrique",16,,,,,,"San Luis Potosí, MX",2008-2023,2008,2023,,,,,,,,,,,,,,,,,,,
Nyle Bishop,"Bishop,Nyle",5,,,,,,"Mooresville, US",2008-2023,2008,2023,,,,,,,,,,,,,,,,,,,
Pierre Grondin,"Grondin,Pierre",7,,,,,,"Mooresville, US",2000-2024,2000,2024,,,,,,,,,,,,,,,,,,,
Jorge Santisteban,"Santisteban,Jorge",3,,,,,,"Los Reyes de Juárez, MX",2002-2011,2002,2011,,,,,,,,,,,,,,,,,,,
Ernesto Barrientos Y Mata,"Barrientos Y Mata,Ernesto",1,,,,,,"Tlalnepantla, MX",2011-2011,2011,2011,,,,,,,,,,,,,,,,,,,
Ernesto D Barrientos,"Barrientos,Ernesto D",1,,,,,,"Katy, US",2011-2011,2011,2011,,,,,,,,,,,,,,,,,,,
David Castillejos,"Castillejos,David",7,,,,,,"Chula Vista, US",2002-2014,2002,2014,,,,,,,,,,,,,,,,,,,
Jose Luis Gutierres Floress,"Floress,Jose Luis Gutierres",1,,,,,,"Tijuana, MX",2011-2011,2011,2011,,,,,,,,,,,,,,,,,,,
Gabriel Arthuro Carpio Aragon,"Aragon,Gabriel Arthuro Carpio",1,,,,,,"Tijuana, MX",2011-2011,2011,2011,,,,,,,,,,,,,,,,,,,
Vicken H Karageozian,"Karageozian,Vicken H",13,,,,,,"Laguna Beach, US",1996-2023,1996,2023,,,,,,,,,,,,,,,,,,,
John Y Park,"Park,John Y",41,,,,,,"Santa Ana, US",1986-2023,1986,2023,,,,,,,,,,,,,,,,,,,
Benjamin Baltierra,"Baltierra,Benjamin",1,,,,,,"Mexicali, MX",2011-2011,2011,2011,,,,,,,,,,,,,,,,,,,
Tommy Snider,"Snider,Tommy",1,,,,,,"Oro Valley, US",2011-2011,2011,2011,,,,,,,,,,,,,,,,,,,
Arturo Maceda,"Maceda,Arturo",5,,,,,,"Mexicali, MX",2011-2021,2011,2021,,,,,,,,,,,,,,,,,,,
David Minke,"Minke,David",5,,,,,,"Tucson, US",2008-2012,2008,2012,,,,,,,,,,,,,,,,,,,
Joaquin Alverde Trejo,"Trejo,Joaquin Alverde",6,,,,,,"Metepec, MX",2009-2012,2009,2012,,,,,,,,,,,,,,,,,,,
Maria Alejandra Noble Colin,"Colin,Maria Alejandra Noble",8,,,,,,"San Miguel Ajusco, MX",2008-2011,2008,2011,,,,,,,,,,,,,,,,,,,
Darrin Bentley Patey,"Patey,Darrin Bentley",4,,,,,,"Brampton, CA",2007-2023,2007,2023,,,,,,,,,,,,,,,,,,,
Sergio Octavio Montero Orozco,"Montero Orozco,Sergio Octavio",2,,,,,,"Mexico City, MX",2009-2011,2009,2011,,,,,,,,,,,,,,,,,,,
Diego Javier Moreno Cureno,"Moreno Cureno,Diego Javier",1,,,,,,"Mexico City, MX",2011-2011,2011,2011,,,,,,,,,,,,,,,,,,,
Marcelo Lozada y Cassou,"Lozada y Cassou,Marcelo",16,,,,,,"Poza Rica, MX",2008-2018,2008,2018,,,,,,,,,,,,,,,,,,,
Maria Antonia Cortes Jacome,"Cortes Jacome,Maria Antonia",9,,,,,,"Poza Rica, MX",2008-2021,2008,2021,,,,,,,,,,,,,,,,,,,
Victor Perez Moreno,"Perez Moreno,Victor",3,,,,,,"Poza Rica, MX",2011-2017,2011,2017,,,,,,,,,,,,,,,,,,,
Esteban Lopez Salinas,"Lopez Salinas,Esteban",11,,,,,,"Poza Rica, MX",2008-2021,2008,2021,,,,,,,,,,,,,,,,,,,
Carlos Angeles Chavez,"Angeles Chavez,Carlos",9,,,,,,"Poza Rica, MX",2008-2021,2008,2021,,,,,,,,,,,,,,,,,,,
Jose Antonio Toledo Antonio,"Toledo Antonio,Jose Antonio",11,,,,,,"Poza Rica, MX",2008-2021,2008,2021,,,,,,,,,,,,,,,,,,,
Jose Escobar Aguilar,"Escobar Aguilar,Jose",6,,,,,,"Poza Rica, MX",2008-2021,2008,2021,,,,,,,,,,,,,,,,,,,
Maria de Lourdes Mosqueira Mondragon,"Mosqueira Mondragon,Maria de Lourdes",7,,,,,,"Poza Rica, MX",2008-2021,2008,2021,,,,,,,,,,,,,,,,,,,
Moises Lopez,"Lopez,Moises",3,,,,,,"Xico, MX",2004-2011,2004,2011,,,,,,,,,,,,,,,,,,,
Alejandro Sanchez Gonzalez,"Gonzalez,Alejandro Sanchez",2,,,,,,"Xico, MX",2009-2011,2009,2011,,,,,,,,,,,,,,,,,,,
Hector Abraham Cisneros Escalante,"Escalante,Hector Abraham Cisneros",1,,,,,,"Xico, MX",2011-2011,2011,2011,,,,,,,,,,,,,,,,,,,
Manoj Venkatesh Bhandiwad,"Bhandiwad,Manoj Venkatesh",10,,,,,,"White Lake, US",1997-2013,1997,2013,,,,,,,,,,,,,,,,,,,
Andrew P Maguire,"Maguire,Andrew P",8,,,,,,"Beverly Hills, US",2009-2013,2009,2013,,,,,,,,,,,,,,,,,,,
James Winston Platt,"Platt,James Winston",8,,,,,,"New Haven, US",2011-2016,2011,2016,,,,,,,,,,,,,,,,,,,
David C Johnson,"Johnson,David C",33,,,,,,"Lapeer, US",1978-2019,1978,2019,,,,,,,,,,,,,,,,,,,
Harold W Seeds,"Seeds,Harold W",12,,,,,,"Irapuato, MX",1997-2013,1997,2013,,,,,,,,,,,,,,,,,,,
